,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,79900.00,2.66,157600.00,5.25,-77700.00,-2.59
総利益,355100.00,11.84,215600.00,7.19,139500.00,4.65
総損失,275200.00,9.17,58000.00,1.93,217200.00,7.24
最大ドローダウン,82400.00,2.7,,,,
バイ・アンド・ホールドでのリターン,9398656.00,313.29,,,,
シャープレシオ,-0.435,,,,,
ソルティノレシオ,-0.433,,,,,
プロフィットファクター,1.29,,3.717,,0.642,
最大保有数,100,,100,,100,
未決済の損益,-54500.00,-1.77,,,,
支払い済み手数料,64000.00,,32500.00,,31500.00,
終了したトレードの合計,63,,32,,31,
未決済トレードの合計,1,,0,,1,
勝ちトレードの数,42,,26,,16,
負けトレードの数,21,,6,,15,
勝率,66.67,,81.25,,51.61,
平均トレード,1268.25,0.04,4925.00,0.16,-2506.45,-0.08
平均勝ちトレード,8454.76,0.28,8292.31,0.28,8718.75,0.29
平均負けトレード,13104.76,0.44,9666.67,0.32,14480.00,0.48
ペイオフレシオ（平均勝ち / 平均負けの比率）,0.645,,0.858,,0.602,
最大勝ちトレード,24200.00,16.4,20200.00,16.4,24200.00,9.18
最大負けトレード,65000.00,39.88,19500.00,7.22,65000.00,39.88
トレードでの平均バー数,39,,33,,45,
勝ちトレードでの平均バー数,27,,29,,22,
負けトレードでの平均バー数,64,,51,,69,
マージンコール,0,,0,,0,
