トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,BBandLE,2012-04-04,928,100,-6700.00,-7.22,-6700.00,-0.22,0,0,12050.00,12.98
1,ロングを決済,BBandSE,2012-06-26,876,100,-6700.00,-7.22,-6700.00,-0.22,0,0,12050.00,12.98
2,ショートエントリー,BBandSE,2012-06-26,876,100,-3400.00,-3.88,-10100.00,-0.11,0,0,8400.00,9.59
2,ショートを決済,BBandLE,2012-07-30,900,100,-3400.00,-3.88,-10100.00,-0.11,0,0,8400.00,9.59
3,ロングエントリー,BBandLE,2012-07-30,900,100,4800.00,5.33,-5300.00,0.16,5750.00,6.39,625.00,0.69
3,ロングを決済,BBandSE,2012-08-17,958,100,4800.00,5.33,-5300.00,0.16,5750.00,6.39,625.00,0.69
4,ショートエントリー,BBandSE,2012-08-17,958,100,4800.00,5.01,-500.00,0.16,6425.00,6.71,575.00,0.6
4,ショートを決済,BBandLE,2012-09-07,900,100,4800.00,5.01,-500.00,0.16,6425.00,6.71,575.00,0.6
5,ロングエントリー,BBandLE,2012-09-07,900,100,4700.00,5.22,4200.00,0.16,6750.00,7.5,2000.00,2.22
5,ロングを決済,BBandSE,2012-09-24,957,100,4700.00,5.22,4200.00,0.16,6750.00,7.5,2000.00,2.22
6,ショートエントリー,BBandSE,2012-09-24,957,100,3900.00,4.08,8100.00,0.13,6200.00,6.48,3050.00,3.19
6,ショートを決済,BBandLE,2012-11-01,908,100,3900.00,4.08,8100.00,0.13,6200.00,6.48,3050.00,3.19
7,ロングエントリー,BBandLE,2012-11-01,908,100,700.00,0.77,8800.00,0.02,3325.00,3.66,2175.00,2.4
7,ロングを決済,BBandSE,2013-01-09,925,100,700.00,0.77,8800.00,0.02,3325.00,3.66,2175.00,2.4
8,ショートエントリー,BBandSE,2013-01-09,925,100,-9100.00,-9.84,-300.00,-0.3,125.00,0.14,18750.00,20.27
8,ショートを決済,BBandLE,2013-04-03,1006,100,-9100.00,-9.84,-300.00,-0.3,125.00,0.14,18750.00,20.27
9,ロングエントリー,BBandLE,2013-04-03,1006,100,16500.00,16.4,16200.00,0.55,21025.00,20.9,2225.00,2.21
9,ロングを決済,BBandSE,2013-04-17,1181,100,16500.00,16.4,16200.00,0.55,21025.00,20.9,2225.00,2.21
10,ショートエントリー,BBandSE,2013-04-17,1181,100,-3400.00,-2.88,12800.00,-0.11,2475.00,2.1,23650.00,20.03
10,ショートを決済,BBandLE,2013-06-17,1205,100,-3400.00,-2.88,12800.00,-0.11,2475.00,2.1,23650.00,20.03
11,ロングエントリー,BBandLE,2013-06-17,1205,100,10800.00,8.96,23600.00,0.36,14750.00,12.24,625.00,0.52
11,ロングを決済,BBandSE,2013-09-12,1323,100,10800.00,8.96,23600.00,0.36,14750.00,12.24,625.00,0.52
12,ショートエントリー,BBandSE,2013-09-12,1323,100,-800.00,-0.6,22800.00,-0.03,7425.00,5.61,15900.00,12.02
12,ショートを決済,BBandLE,2014-02-06,1321,100,-800.00,-0.6,22800.00,-0.03,7425.00,5.61,15900.00,12.02
13,ロングエントリー,BBandLE,2014-02-06,1321,100,13000.00,9.84,35800.00,0.43,16600.00,12.57,2575.00,1.95
13,ロングを決済,BBandSE,2014-03-11,1461,100,13000.00,9.84,35800.00,0.43,16600.00,12.57,2575.00,1.95
14,ショートエントリー,BBandSE,2014-03-11,1461,100,9600.00,6.57,45400.00,0.32,12100.00,8.28,4625.00,3.17
14,ショートを決済,BBandLE,2014-03-27,1355,100,9600.00,6.57,45400.00,0.32,12100.00,8.28,4625.00,3.17
15,ロングエントリー,BBandLE,2014-03-27,1355,100,4300.00,3.17,49700.00,0.14,8800.00,6.49,9725.00,7.18
15,ロングを決済,BBandSE,2014-05-08,1408,100,4300.00,3.17,49700.00,0.14,8800.00,6.49,9725.00,7.18
16,ショートエントリー,BBandSE,2014-05-08,1408,100,-29800.00,-21.16,19900.00,-0.98,300.00,0.21,37700.00,26.78
16,ショートを決済,BBandLE,2014-09-26,1696,100,-29800.00,-21.16,19900.00,-0.98,300.00,0.21,37700.00,26.78
17,ロングエントリー,BBandLE,2014-09-26,1696,100,1100.00,0.65,21000.00,0.04,7900.00,4.66,20025.00,11.81
17,ロングを決済,BBandSE,2014-11-06,1717,100,1100.00,0.65,21000.00,0.04,7900.00,4.66,20025.00,11.81
18,ショートエントリー,BBandSE,2014-11-06,1717,100,13800.00,8.04,34800.00,0.46,19450.00,11.33,1750.00,1.02
18,ショートを決済,BBandLE,2014-12-19,1569,100,13800.00,8.04,34800.00,0.46,19450.00,11.33,1750.00,1.02
19,ロングエントリー,BBandLE,2014-12-19,1569,100,5100.00,3.25,39900.00,0.17,8925.00,5.69,6850.00,4.37
19,ロングを決済,BBandSE,2015-01-22,1630,100,5100.00,3.25,39900.00,0.17,8925.00,5.69,6850.00,4.37
20,ショートエントリー,BBandSE,2015-01-22,1630,100,-65000.00,-39.88,-25100.00,-2.14,0,0,90800.00,55.71
20,ショートを決済,BBandLE,2015-08-27,2270,100,-65000.00,-39.88,-25100.00,-2.14,0,0,90800.00,55.71
21,ロングエントリー,BBandLE,2015-08-27,2270,100,700.00,0.31,-24400.00,0.02,12225.00,5.39,27250.00,12
21,ロングを決済,BBandSE,2015-10-27,2287,100,700.00,0.31,-24400.00,0.02,12225.00,5.39,27250.00,12
22,ショートエントリー,BBandSE,2015-10-27,2287,100,-7800.00,-3.41,-32200.00,-0.26,7850.00,3.43,20950.00,9.16
22,ショートを決済,BBandLE,2016-01-25,2355,100,-7800.00,-3.41,-32200.00,-0.26,7850.00,3.43,20950.00,9.16
23,ロングエントリー,BBandLE,2016-01-25,2355,100,18700.00,7.94,-13500.00,0.63,34950.00,14.84,6800.00,2.89
23,ロングを決済,BBandSE,2016-02-05,2552,100,18700.00,7.94,-13500.00,0.63,34950.00,14.84,6800.00,2.89
24,ショートエントリー,BBandSE,2016-02-05,2552,100,20400.00,7.99,6900.00,0.68,28400.00,11.13,11750.00,4.6
24,ショートを決済,BBandLE,2016-04-07,2338,100,20400.00,7.99,6900.00,0.68,28400.00,11.13,11750.00,4.6
25,ロングエントリー,BBandLE,2016-04-07,2338,100,20200.00,8.64,27100.00,0.67,24700.00,10.56,3750.00,1.6
25,ロングを決済,BBandSE,2016-05-13,2550,100,20200.00,8.64,27100.00,0.67,24700.00,10.56,3750.00,1.6
26,ショートエントリー,BBandSE,2016-05-13,2550,100,14200.00,5.57,41300.00,0.47,19250.00,7.55,2650.00,1.04
26,ショートを決済,BBandLE,2016-05-20,2398,100,14200.00,5.57,41300.00,0.47,19250.00,7.55,2650.00,1.04
27,ロングエントリー,BBandLE,2016-05-20,2398,100,3400.00,1.42,44700.00,0.11,15350.00,6.4,32500.00,13.55
27,ロングを決済,BBandSE,2016-12-16,2442,100,3400.00,1.42,44700.00,0.11,15350.00,6.4,32500.00,13.55
28,ショートエントリー,BBandSE,2016-12-16,2442,100,-100.00,-0.04,44600.00,0,3550.00,1.45,13050.00,5.34
28,ショートを決済,BBandLE,2017-02-08,2433,100,-100.00,-0.04,44600.00,0,3550.00,1.45,13050.00,5.34
29,ロングエントリー,BBandLE,2017-02-08,2433,100,2700.00,1.11,47300.00,0.09,5450.00,2.24,9550.00,3.93
29,ロングを決済,BBandSE,2017-03-15,2470,100,2700.00,1.11,47300.00,0.09,5450.00,2.24,9550.00,3.93
30,ショートエントリー,BBandSE,2017-03-15,2470,100,4900.00,1.98,52200.00,0.16,8900.00,3.6,4150.00,1.68
30,ショートを決済,BBandLE,2017-04-04,2411,100,4900.00,1.98,52200.00,0.16,8900.00,3.6,4150.00,1.68
31,ロングエントリー,BBandLE,2017-04-04,2411,100,14300.00,5.93,66500.00,0.47,25650.00,10.64,8000.00,3.32
31,ロングを決済,BBandSE,2017-05-18,2564,100,14300.00,5.93,66500.00,0.47,25650.00,10.64,8000.00,3.32
32,ショートエントリー,BBandSE,2017-05-18,2564,100,-8400.00,-3.28,58100.00,-0.27,500.00,0.2,19100.00,7.45
32,ショートを決済,BBandLE,2017-08-16,2638,100,-8400.00,-3.28,58100.00,-0.27,500.00,0.2,19100.00,7.45
33,ロングエントリー,BBandLE,2017-08-16,2638,100,1000.00,0.38,59100.00,0.03,9950.00,3.77,14350.00,5.44
33,ロングを決済,BBandSE,2017-10-20,2658,100,1000.00,0.38,59100.00,0.03,9950.00,3.77,14350.00,5.44
