,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-1006700.00,-33.56,-371500.00,-12.38,-635200.00,-21.17
総利益,815500.00,27.18,478400.00,15.95,337100.00,11.24
総損失,1822200.00,60.74,849900.00,28.33,972300.00,32.41
最大ドローダウン,1010900.00,33.65,,,,
バイ・アンド・ホールドでのリターン,9506160.00,316.87,,,,
シャープレシオ,-0.757,,,,,
ソルティノレシオ,-0.614,,,,,
プロフィットファクター,0.448,,0.563,,0.347,
最大保有数,100,,100,,100,
未決済の損益,-28900.00,-1.45,,,,
支払い済み手数料,579000.00,,289000.00,,290000.00,
終了したトレードの合計,578,,289,,289,
未決済トレードの合計,1,,0,,1,
勝ちトレードの数,155,,83,,72,
負けトレードの数,417,,203,,214,
勝率,26.82,,28.72,,24.91,
平均トレード,-1741.70,-0.06,-1285.47,-0.04,-2197.92,-0.07
平均勝ちトレード,5261.29,0.18,5763.86,0.19,4681.94,0.16
平均負けトレード,4369.78,0.15,4186.70,0.14,4543.46,0.15
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.204,,1.377,,1.03,
最大勝ちトレード,24300.00,14.21,24300.00,14.21,23500.00,9
最大負けトレード,27400.00,11.32,20200.00,8.81,27400.00,11.32
トレードでの平均バー数,5,,5,,5,
勝ちトレードでの平均バー数,8,,9,,7,
負けトレードでの平均バー数,4,,4,,4,
マージンコール,0,,0,,0,
