トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,BarDn,2012-04-05,920,100,0,0,0,0,875.00,0.95,1250.00,1.36
1,ショートを決済,BarUp,2012-04-16,905,100,0,0,0,0,875.00,0.95,1250.00,1.36
2,ロングエントリー,BarUp,2012-04-16,905,100,0,0,0,0,1000.00,1.1,875.00,0.97
2,ロングを決済,BarDn,2012-04-18,915,100,0,0,0,0,1000.00,1.1,875.00,0.97
3,ショートエントリー,BarDn,2012-04-18,915,100,-1300.00,-1.42,-1300.00,-0.04,0,0,1750.00,1.91
3,ショートを決済,BarUp,2012-04-19,918,100,-1300.00,-1.42,-1300.00,-0.04,0,0,1750.00,1.91
4,ロングエントリー,BarUp,2012-04-19,918,100,-1000.00,-1.09,-2300.00,-0.03,0,0,1425.00,1.55
4,ロングを決済,BarDn,2012-04-20,918,100,-1000.00,-1.09,-2300.00,-0.03,0,0,1425.00,1.55
5,ショートエントリー,BarDn,2012-04-20,918,100,-1200.00,-1.31,-3500.00,-0.04,0,0,1075.00,1.17
5,ショートを決済,BarUp,2012-04-23,920,100,-1200.00,-1.31,-3500.00,-0.04,0,0,1075.00,1.17
6,ロングエントリー,BarUp,2012-04-23,920,100,-2200.00,-2.39,-5700.00,-0.07,0,0,1700.00,1.85
6,ロングを決済,BarDn,2012-04-24,908,100,-2200.00,-2.39,-5700.00,-0.07,0,0,1700.00,1.85
7,ショートエントリー,BarDn,2012-04-24,908,100,1700.00,1.87,-4000.00,0.06,2800.00,3.08,1325.00,1.46
7,ショートを決済,BarUp,2012-05-15,881,100,1700.00,1.87,-4000.00,0.06,2800.00,3.08,1325.00,1.46
8,ロングエントリー,BarUp,2012-05-15,881,100,-1300.00,-1.48,-5300.00,-0.04,2025.00,2.3,850.00,0.96
8,ロングを決済,BarDn,2012-05-17,878,100,-1300.00,-1.48,-5300.00,-0.04,2025.00,2.3,850.00,0.96
9,ショートエントリー,BarDn,2012-05-17,878,100,3500.00,3.99,-1800.00,0.12,5550.00,6.32,825.00,0.94
9,ショートを決済,BarUp,2012-06-12,833,100,3500.00,3.99,-1800.00,0.12,5550.00,6.32,825.00,0.94
10,ロングエントリー,BarUp,2012-06-12,833,100,-1700.00,-2.04,-3500.00,-0.06,0,0,1675.00,2.01
10,ロングを決済,BarDn,2012-06-13,826,100,-1700.00,-2.04,-3500.00,-0.06,0,0,1675.00,2.01
11,ショートエントリー,BarDn,2012-06-13,826,100,-1900.00,-2.3,-5400.00,-0.06,0,0,1775.00,2.15
11,ショートを決済,BarUp,2012-06-14,835,100,-1900.00,-2.3,-5400.00,-0.06,0,0,1775.00,2.15
