,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-454100.00,-15.14,-89200.00,-2.97,-364900.00,-12.16
総利益,611200.00,20.37,390100.00,13,221100.00,7.37
総損失,1065300.00,35.51,479300.00,15.98,586000.00,19.53
最大ドローダウン,468800.00,15.56,,,,
バイ・アンド・ホールドでのリターン,9440373.00,314.68,,,,
シャープレシオ,-0.665,,,,,
ソルティノレシオ,-0.595,,,,,
プロフィットファクター,0.574,,0.814,,0.377,
最大保有数,100,,100,,100,
未決済の損益,16400.00,0.64,,,,
支払い済み手数料,292000.00,,145500.00,,146500.00,
終了したトレードの合計,291,,145,,146,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,87,,50,,37,
負けトレードの数,204,,95,,109,
勝率,29.9,,34.48,,25.34,
平均トレード,-1560.48,-0.05,-615.17,-0.02,-2499.32,-0.08
平均勝ちトレード,7025.29,0.23,7802.00,0.26,5975.68,0.2
平均負けトレード,5222.06,0.17,5045.26,0.17,5376.15,0.18
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.345,,1.546,,1.112,
最大勝ちトレード,32500.00,23.91,30000.00,23.91,32500.00,12.4
最大負けトレード,18600.00,8.11,18600.00,7.83,17600.00,8.11
トレードでの平均バー数,9,,10,,8,
勝ちトレードでの平均バー数,15,,16,,14,
負けトレードでの平均バー数,7,,7,,6,
マージンコール,0,,0,,0,
