トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,ChBrkSE,2012-04-03,925,100,-1000.00,-1.08,-1000.00,-0.03,1375.00,1.49,1500.00,1.62
1,ショートを決済,ChBrkLE,2012-04-16,920,100,-1000.00,-1.08,-1000.00,-0.03,1375.00,1.49,1500.00,1.62
2,ロングエントリー,ChBrkLE,2012-04-16,920,100,-2400.00,-2.61,-3400.00,-0.08,250.00,0.27,1900.00,2.07
2,ロングを決済,ChBrkSE,2012-04-27,906,100,-2400.00,-2.61,-3400.00,-0.08,250.00,0.27,1900.00,2.07
3,ショートエントリー,ChBrkSE,2012-04-27,906,100,-400.00,-0.44,-3800.00,-0.01,2600.00,2.87,1525.00,1.68
3,ショートを決済,ChBrkLE,2012-05-15,900,100,-400.00,-0.44,-3800.00,-0.01,2600.00,2.87,1525.00,1.68
4,ロングエントリー,ChBrkLE,2012-05-15,900,100,-3600.00,-4,-7400.00,-0.12,125.00,0.14,3100.00,3.44
4,ロングを決済,ChBrkSE,2012-05-18,874,100,-3600.00,-4,-7400.00,-0.12,125.00,0.14,3100.00,3.44
5,ショートエントリー,ChBrkSE,2012-05-18,874,100,2900.00,3.32,-4500.00,0.1,5150.00,5.89,100.00,0.11
5,ショートを決済,ChBrkLE,2012-06-11,835,100,2900.00,3.32,-4500.00,0.1,5150.00,5.89,100.00,0.11
6,ロングエントリー,ChBrkLE,2012-06-11,835,100,8500.00,10.18,4000.00,0.28,11500.00,13.77,1875.00,2.25
6,ロングを決済,ChBrkSE,2012-07-11,930,100,8500.00,10.18,4000.00,0.28,11500.00,13.77,1875.00,2.25
7,ショートエントリー,ChBrkSE,2012-07-11,930,100,400.00,0.43,4400.00,0.01,3625.00,3.9,1500.00,1.61
7,ショートを決済,ChBrkLE,2012-08-02,916,100,400.00,0.43,4400.00,0.01,3625.00,3.9,1500.00,1.61
8,ロングエントリー,ChBrkLE,2012-08-02,916,100,1300.00,1.42,5700.00,0.04,4150.00,4.53,1600.00,1.75
8,ロングを決済,ChBrkSE,2012-08-24,939,100,1300.00,1.42,5700.00,0.04,4150.00,4.53,1600.00,1.75
9,ショートエントリー,ChBrkSE,2012-08-24,939,100,2600.00,2.77,8300.00,0.09,4900.00,5.22,1350.00,1.44
9,ショートを決済,ChBrkLE,2012-09-14,903,100,2600.00,2.77,8300.00,0.09,4900.00,5.22,1350.00,1.44
10,ロングエントリー,ChBrkLE,2012-09-14,903,100,1700.00,1.88,10000.00,0.06,6450.00,7.14,800.00,0.89
10,ロングを決済,ChBrkSE,2012-09-28,930,100,1700.00,1.88,10000.00,0.06,6450.00,7.14,800.00,0.89
11,ショートエントリー,ChBrkSE,2012-09-28,930,100,-3800.00,-4.09,6200.00,-0.13,625.00,0.67,3300.00,3.55
11,ショートを決済,ChBrkLE,2012-10-02,958,100,-3800.00,-4.09,6200.00,-0.13,625.00,0.67,3300.00,3.55
12,ロングエントリー,ChBrkLE,2012-10-02,958,100,-2300.00,-2.4,3900.00,-0.08,1200.00,1.25,1800.00,1.88
12,ロングを決済,ChBrkSE,2012-10-10,945,100,-2300.00,-2.4,3900.00,-0.08,1200.00,1.25,1800.00,1.88
13,ショートエントリー,ChBrkSE,2012-10-10,945,100,-2900.00,-3.07,1000.00,-0.1,1000.00,1.06,2400.00,2.54
13,ショートを決済,ChBrkLE,2012-10-17,964,100,-2900.00,-3.07,1000.00,-0.1,1000.00,1.06,2400.00,2.54
