,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-175400.00,-5.85,35700.00,1.19,-211100.00,-7.04
総利益,459000.00,15.3,302900.00,10.1,156100.00,5.2
総損失,634400.00,21.15,267200.00,8.91,367200.00,12.24
最大ドローダウン,193200.00,6.41,,,,
バイ・アンド・ホールドでのリターン,9506160.00,316.87,,,,
シャープレシオ,-0.458,,,,,
ソルティノレシオ,-0.485,,,,,
プロフィットファクター,0.724,,1.134,,0.425,
最大保有数,100,,100,,100,
未決済の損益,45800.00,1.62,,,,
支払い済み手数料,144000.00,,71500.00,,72500.00,
終了したトレードの合計,143,,71,,72,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,50,,31,,19,
負けトレードの数,93,,40,,53,
勝率,34.97,,43.66,,26.39,
平均トレード,-1226.57,-0.04,502.82,0.02,-2931.94,-0.1
平均勝ちトレード,9180.00,0.31,9770.97,0.33,8215.79,0.27
平均負けトレード,6821.51,0.23,6680.00,0.22,6928.30,0.23
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.346,,1.463,,1.186,
最大勝ちトレード,41800.00,25.71,41800.00,25.71,35700.00,13.77
最大負けトレード,32400.00,13.51,22000.00,9.4,32400.00,13.51
トレードでの平均バー数,18,,19,,17,
勝ちトレードでの平均バー数,26,,28,,23,
負けトレードでの平均バー数,14,,12,,14,
マージンコール,0,,0,,0,
