トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,ConsUpLE,2012-04-05,920,100,1600.00,1.74,1600.00,0.05,9250.00,10.05,1750.00,1.9
1,ショートを決済,ConsUpLE,2012-06-22,889,100,1600.00,1.74,1600.00,0.05,9250.00,10.05,1750.00,1.9
2,ロングエントリー,ConsUpLE,2012-06-22,889,100,4100.00,4.61,5700.00,0.14,6100.00,6.86,1900.00,2.14
2,ロングを決済,ConsUpLE,2012-07-10,940,100,4100.00,4.61,5700.00,0.14,6100.00,6.86,1900.00,2.14
3,ショートエントリー,ConsUpLE,2012-07-10,940,100,-2800.00,-2.98,2900.00,-0.09,4625.00,4.92,2750.00,2.93
3,ショートを決済,ConsUpLE,2012-08-17,958,100,-2800.00,-2.98,2900.00,-0.09,4625.00,4.92,2750.00,2.93
4,ロングエントリー,ConsUpLE,2012-08-17,958,100,-7200.00,-7.52,-4300.00,-0.24,0,0,7800.00,8.14
4,ロングを決済,ConsUpLE,2012-09-14,896,100,-7200.00,-7.52,-4300.00,-0.24,0,0,7800.00,8.14
5,ショートエントリー,ConsUpLE,2012-09-14,896,100,-5300.00,-5.92,-9600.00,-0.18,100.00,0.11,9150.00,10.21
5,ショートを決済,ConsUpLE,2012-11-29,939,100,-5300.00,-5.92,-9600.00,-0.18,100.00,0.11,9150.00,10.21
6,ロングエントリー,ConsUpLE,2012-11-29,939,100,-4400.00,-4.69,-14000.00,-0.15,225.00,0.24,4025.00,4.29
6,ロングを決済,ConsUpLE,2012-12-05,905,100,-4400.00,-4.69,-14000.00,-0.15,225.00,0.24,4025.00,4.29
7,ショートエントリー,ConsUpLE,2012-12-05,905,100,-2400.00,-2.65,-16400.00,-0.08,0,0,2500.00,2.76
7,ショートを決済,ConsUpLE,2012-12-13,919,100,-2400.00,-2.65,-16400.00,-0.08,0,0,2500.00,2.76
8,ロングエントリー,ConsUpLE,2012-12-13,919,100,600.00,0.65,-15800.00,0.02,2975.00,3.24,2650.00,2.88
8,ロングを決済,ConsUpLE,2013-01-25,935,100,600.00,0.65,-15800.00,0.02,2975.00,3.24,2650.00,2.88
9,ショートエントリー,ConsUpLE,2013-01-25,935,100,-5000.00,-5.35,-20800.00,-0.17,0,0,4500.00,4.81
9,ショートを決済,ConsUpLE,2013-02-04,975,100,-5000.00,-5.35,-20800.00,-0.17,0,0,4500.00,4.81
10,ロングエントリー,ConsUpLE,2013-02-04,975,100,6500.00,6.67,-14300.00,0.22,12750.00,13.08,1500.00,1.54
10,ロングを決済,ConsUpLE,2013-03-15,1050,100,6500.00,6.67,-14300.00,0.22,12750.00,13.08,1500.00,1.54
11,ショートエントリー,ConsUpLE,2013-03-15,1050,100,-1400.00,-1.33,-15700.00,-0.05,6375.00,6.07,2250.00,2.14
11,ショートを決済,ConsUpLE,2013-04-05,1054,100,-1400.00,-1.33,-15700.00,-0.05,6375.00,6.07,2250.00,2.14
12,ロングエントリー,ConsUpLE,2013-04-05,1054,100,27100.00,25.71,11400.00,0.91,35350.00,33.54,2025.00,1.92
12,ロングを決済,ConsUpLE,2013-05-21,1335,100,27100.00,25.71,11400.00,0.91,35350.00,33.54,2025.00,1.92
13,ショートエントリー,ConsUpLE,2013-05-21,1335,100,4200.00,3.15,15600.00,0.14,14875.00,11.14,3750.00,2.81
13,ショートを決済,ConsUpLE,2013-07-01,1283,100,4200.00,3.15,15600.00,0.14,14875.00,11.14,3750.00,2.81
14,ロングエントリー,ConsUpLE,2013-07-01,1283,100,-4700.00,-3.66,10900.00,-0.16,5700.00,4.44,4675.00,3.64
14,ロングを決済,ConsUpLE,2013-07-30,1246,100,-4700.00,-3.66,10900.00,-0.16,5700.00,4.44,4675.00,3.64
15,ショートエントリー,ConsUpLE,2013-07-30,1246,100,-3900.00,-3.13,7000.00,-0.13,1350.00,1.08,8400.00,6.74
15,ショートを決済,ConsUpLE,2013-08-26,1275,100,-3900.00,-3.13,7000.00,-0.13,1350.00,1.08,8400.00,6.74
16,ロングエントリー,ConsUpLE,2013-08-26,1275,100,-1200.00,-0.94,5800.00,-0.04,7750.00,6.08,3375.00,2.65
16,ロングを決済,ConsUpLE,2013-10-01,1273,100,-1200.00,-0.94,5800.00,-0.04,7750.00,6.08,3375.00,2.65
17,ショートエントリー,ConsUpLE,2013-10-01,1273,100,-7500.00,-5.89,-1700.00,-0.25,2425.00,1.9,7000.00,5.5
17,ショートを決済,ConsUpLE,2013-10-15,1338,100,-7500.00,-5.89,-1700.00,-0.25,2425.00,1.9,7000.00,5.5
18,ロングエントリー,ConsUpLE,2013-10-15,1338,100,-3500.00,-2.62,-5200.00,-0.12,0,0,4550.00,3.4
18,ロングを決済,ConsUpLE,2013-10-21,1313,100,-3500.00,-2.62,-5200.00,-0.12,0,0,4550.00,3.4
19,ショートエントリー,ConsUpLE,2013-10-21,1313,100,-500.00,-0.38,-5700.00,-0.02,5925.00,4.51,3200.00,2.44
19,ショートを決済,ConsUpLE,2013-11-11,1308,100,-500.00,-0.38,-5700.00,-0.02,5925.00,4.51,3200.00,2.44
20,ロングエントリー,ConsUpLE,2013-11-11,1308,100,-1000.00,-0.76,-6700.00,-0.03,1950.00,1.49,1800.00,1.38
20,ロングを決済,ConsUpLE,2013-11-22,1308,100,-1000.00,-0.76,-6700.00,-0.03,1950.00,1.49,1800.00,1.38
21,ショートエントリー,ConsUpLE,2013-11-22,1308,100,-12500.00,-9.56,-19200.00,-0.42,3800.00,2.91,12000.00,9.17
21,ショートを決済,ConsUpLE,2014-01-06,1423,100,-12500.00,-9.56,-19200.00,-0.42,3800.00,2.91,12000.00,9.17
22,ロングエントリー,ConsUpLE,2014-01-06,1423,100,500.00,0.35,-18700.00,0.02,4900.00,3.44,5050.00,3.55
22,ロングを決済,ConsUpLE,2014-01-24,1438,100,500.00,0.35,-18700.00,0.02,4900.00,3.44,5050.00,3.55
23,ショートエントリー,ConsUpLE,2014-01-24,1438,100,2200.00,1.53,-16500.00,0.07,15100.00,10.5,1000.00,0.7
23,ショートを決済,ConsUpLE,2014-02-10,1406,100,2200.00,1.53,-16500.00,0.07,15100.00,10.5,1000.00,0.7
24,ロングエントリー,ConsUpLE,2014-02-10,1406,100,-4100.00,-2.92,-20600.00,-0.14,3700.00,2.63,5825.00,4.14
24,ロングを決済,ConsUpLE,2014-02-18,1375,100,-4100.00,-2.92,-20600.00,-0.14,3700.00,2.63,5825.00,4.14
25,ショートエントリー,ConsUpLE,2014-02-18,1375,100,-9000.00,-6.55,-29600.00,-0.3,0,0,8500.00,6.18
25,ショートを決済,ConsUpLE,2014-02-26,1455,100,-9000.00,-6.55,-29600.00,-0.3,0,0,8500.00,6.18
26,ロングエントリー,ConsUpLE,2014-02-26,1455,100,-5800.00,-3.99,-35400.00,-0.2,375.00,0.26,8325.00,5.72
26,ロングを決済,ConsUpLE,2014-03-04,1407,100,-5800.00,-3.99,-35400.00,-0.2,375.00,0.26,8325.00,5.72
27,ショートエントリー,ConsUpLE,2014-03-04,1407,100,-8100.00,-5.76,-43500.00,-0.27,500.00,0.36,7925.00,5.63
27,ショートを決済,ConsUpLE,2014-03-07,1478,100,-8100.00,-5.76,-43500.00,-0.27,500.00,0.36,7925.00,5.63
28,ロングエントリー,ConsUpLE,2014-03-07,1478,100,-13900.00,-9.4,-57400.00,-0.47,1925.00,1.3,13400.00,9.07
28,ロングを決済,ConsUpLE,2014-03-25,1349,100,-13900.00,-9.4,-57400.00,-0.47,1925.00,1.3,13400.00,9.07
29,ショートエントリー,ConsUpLE,2014-03-25,1349,100,-500.00,-0.37,-57900.00,-0.02,8125.00,6.02,8325.00,6.17
29,ショートを決済,ConsUpLE,2014-04-17,1344,100,-500.00,-0.37,-57900.00,-0.02,8125.00,6.02,8325.00,6.17
30,ロングエントリー,ConsUpLE,2014-04-17,1344,100,17400.00,12.95,-40500.00,0.59,22175.00,16.5,1650.00,1.23
30,ロングを決済,ConsUpLE,2014-06-10,1528,100,17400.00,12.95,-40500.00,0.59,22175.00,16.5,1650.00,1.23
31,ショートエントリー,ConsUpLE,2014-06-10,1528,100,-5500.00,-3.6,-46000.00,-0.19,1375.00,0.9,6725.00,4.4
31,ショートを決済,ConsUpLE,2014-06-16,1573,100,-5500.00,-3.6,-46000.00,-0.19,1375.00,0.9,6725.00,4.4
32,ロングエントリー,ConsUpLE,2014-06-16,1573,100,-800.00,-0.51,-46800.00,-0.03,3300.00,2.1,2775.00,1.76
32,ロングを決済,ConsUpLE,2014-06-25,1575,100,-800.00,-0.51,-46800.00,-0.03,3300.00,2.1,2775.00,1.76
33,ショートエントリー,ConsUpLE,2014-06-25,1575,100,-3400.00,-2.16,-50200.00,-0.12,2000.00,1.27,2900.00,1.84
33,ショートを決済,ConsUpLE,2014-07-02,1599,100,-3400.00,-2.16,-50200.00,-0.12,2000.00,1.27,2900.00,1.84
34,ロングエントリー,ConsUpLE,2014-07-02,1599,100,6200.00,3.88,-44000.00,0.21,17600.00,11.01,1150.00,0.72
34,ロングを決済,ConsUpLE,2014-09-24,1671,100,6200.00,3.88,-44000.00,0.21,17600.00,11.01,1150.00,0.72
