,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-1400400.00,-46.68,-679400.00,-22.65,-721000.00,-24.03
総利益,322100.00,10.74,138000.00,4.6,184100.00,6.14
総損失,1722500.00,57.42,817400.00,27.25,905100.00,30.17
最大ドローダウン,1399400.00,46.66,,,,
バイ・アンド・ホールドでのリターン,9602055.00,320.07,,,,
シャープレシオ,-1.573,,,,,
ソルティノレシオ,-0.845,,,,,
プロフィットファクター,0.187,,0.169,,0.203,
最大保有数,100,,100,,100,
未決済の損益,0,0,,,,
支払い済み手数料,1247000.00,,647500.00,,599500.00,
終了したトレードの合計,642,,333,,309,
未決済トレードの合計,0,,0,,0,
勝ちトレードの数,132,,72,,60,
負けトレードの数,505,,258,,247,
勝率,20.56,,21.62,,19.42,
平均トレード,-2181.31,-0.07,-2040.24,-0.07,-2333.33,-0.08
平均勝ちトレード,2440.15,0.08,1916.67,0.06,3068.33,0.1
平均負けトレード,3410.89,0.11,3168.22,0.11,3664.37,0.12
ペイオフレシオ（平均勝ち / 平均負けの比率）,0.715,,0.605,,0.837,
最大勝ちトレード,19500.00,8.29,12300.00,4.09,19500.00,8.29
最大負けトレード,14400.00,6.69,11100.00,4.89,14400.00,6.69
トレードでの平均バー数,2,,2,,2,
勝ちトレードでの平均バー数,2,,2,,2,
負けトレードでの平均バー数,2,,2,,2,
マージンコール,0,,0,,0,
