トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,GapDn,2012-04-06,913,100,-1000.00,-1.1,-1000.00,-0.03,0,0,1575.00,1.73
1,ショートを決済,TPSL,2012-04-12,903,100,-1000.00,-1.1,-1000.00,-0.03,0,0,1575.00,1.73
2,ショートエントリー,GapDn,2012-04-25,914,100,-1000.00,-1.09,-2000.00,-0.03,0,0,1225.00,1.34
2,ショートを決済,TPSL,2012-04-27,904,100,-1000.00,-1.09,-2000.00,-0.03,0,0,1225.00,1.34
3,ショートエントリー,GapDn,2012-05-08,888,100,-3000.00,-3.38,-5000.00,-0.1,0,0,2000.00,2.25
3,ショートを決済,TPSL,2012-05-09,898,100,-3000.00,-3.38,-5000.00,-0.1,0,0,2000.00,2.25
4,ショートエントリー,GapDn,2012-05-14,879,100,-3000.00,-3.41,-8000.00,-0.1,0,0,2000.00,2.28
4,ショートを決済,TPSL,2012-05-15,889,100,-3000.00,-3.41,-8000.00,-0.1,0,0,2000.00,2.28
5,ショートエントリー,GapDn,2012-05-21,863,100,-1000.00,-1.16,-9000.00,-0.03,0,0,1700.00,1.97
5,ショートを決済,TPSL,2012-05-22,853,100,-1000.00,-1.16,-9000.00,-0.03,0,0,1700.00,1.97
6,ショートエントリー,GapDn,2012-05-23,853,100,-1000.00,-1.17,-10000.00,-0.03,0,0,1950.00,2.29
6,ショートを決済,TPSL,2012-05-24,843,100,-1000.00,-1.17,-10000.00,-0.03,0,0,1950.00,2.29
7,ショートエントリー,GapDn,2012-05-25,844,100,-3000.00,-3.55,-13000.00,-0.1,0,0,2000.00,2.37
7,ショートを決済,TPSL,2012-05-28,854,100,-3000.00,-3.55,-13000.00,-0.1,0,0,2000.00,2.37
8,ショートエントリー,GapDn,2012-05-31,840,100,-3000.00,-3.57,-16000.00,-0.1,0,0,2125.00,2.53
8,ショートを決済,TPSL,2012-06-01,850,100,-3000.00,-3.57,-16000.00,-0.1,0,0,2125.00,2.53
9,ショートエントリー,GapDn,2012-06-05,834,100,-1000.00,-1.2,-17000.00,-0.03,150.00,0.18,975.00,1.17
9,ショートを決済,TPSL,2012-06-06,824,100,-1000.00,-1.2,-17000.00,-0.03,150.00,0.18,975.00,1.17
10,ロングエントリー,GapUp,2012-06-12,833,100,-1000.00,-1.2,-18000.00,-0.03,0,0,2175.00,2.61
10,ロングを決済,TPSL,2012-06-15,843,100,-1000.00,-1.2,-18000.00,-0.03,0,0,2175.00,2.61
11,ロングエントリー,GapUp,2012-06-19,847,100,-800.00,-0.94,-18800.00,-0.03,200.00,0.24,575.00,0.68
11,ロングを決済,TPSL,2012-06-20,859,100,-800.00,-0.94,-18800.00,-0.03,200.00,0.24,575.00,0.68
12,ロングエントリー,GapUp,2012-06-21,883,100,-1000.00,-1.13,-19800.00,-0.03,0,0,1425.00,1.61
12,ロングを決済,TPSL,2012-06-22,893,100,-1000.00,-1.13,-19800.00,-0.03,0,0,1425.00,1.61
13,ロングエントリー,GapUp,2012-06-28,911,100,-800.00,-0.88,-20600.00,-0.03,775.00,0.85,975.00,1.07
13,ロングを決済,TPSL,2012-06-29,923,100,-800.00,-0.88,-20600.00,-0.03,775.00,0.85,975.00,1.07
14,ロングエントリー,GapUp,2012-07-04,944,100,-3000.00,-3.18,-23600.00,-0.1,100.00,0.11,2000.00,2.12
14,ロングを決済,TPSL,2012-07-06,934,100,-3000.00,-3.18,-23600.00,-0.1,100.00,0.11,2000.00,2.12
15,ショートエントリー,GapDn,2012-07-09,931,100,-3000.00,-3.22,-26600.00,-0.1,0,0,2275.00,2.44
15,ショートを決済,TPSL,2012-07-10,941,100,-3000.00,-3.22,-26600.00,-0.1,0,0,2275.00,2.44
16,ショートエントリー,GapDn,2012-07-12,932,100,-1000.00,-1.07,-27600.00,-0.03,325.00,0.35,675.00,0.72
16,ショートを決済,TPSL,2012-07-17,922,100,-1000.00,-1.07,-27600.00,-0.03,325.00,0.35,675.00,0.72
17,ショートエントリー,GapDn,2012-07-23,908,100,-3000.00,-3.3,-30600.00,-0.1,0,0,2450.00,2.7
17,ショートを決済,TPSL,2012-07-24,918,100,-3000.00,-3.3,-30600.00,-0.1,0,0,2450.00,2.7
18,ショートエントリー,GapDn,2012-07-26,895,100,-3000.00,-3.35,-33600.00,-0.1,0,0,2000.00,2.23
18,ショートを決済,TPSL,2012-07-30,905,100,-3000.00,-3.35,-33600.00,-0.1,0,0,2000.00,2.23
19,ロングエントリー,GapUp,2012-07-31,911,100,-1000.00,-1.1,-34600.00,-0.03,0,0,1600.00,1.76
19,ロングを決済,TPSL,2012-08-02,921,100,-1000.00,-1.1,-34600.00,-0.03,0,0,1600.00,1.76
20,ロングエントリー,GapUp,2012-08-03,913,100,-1500.00,-1.64,-36100.00,-0.05,0,0,1800.00,1.97
20,ロングを決済,GapDn,2012-08-06,913,100,-1500.00,-1.64,-36100.00,-0.05,0,0,1800.00,1.97
21,ショートエントリー,GapDn,2012-08-06,913,100,-3000.00,-3.29,-39100.00,-0.1,0,0,2500.00,2.74
21,ショートを決済,GapUp,2012-08-07,933,100,-3000.00,-3.29,-39100.00,-0.1,0,0,2500.00,2.74
22,ロングエントリー,GapUp,2012-08-07,933,100,-2500.00,-2.68,-41600.00,-0.08,325.00,0.35,1500.00,1.61
22,ロングを決済,TPSL,2012-08-08,923,100,-2500.00,-2.68,-41600.00,-0.08,325.00,0.35,1500.00,1.61
23,ロングエントリー,GapUp,2012-08-16,960,100,-3000.00,-3.12,-44600.00,-0.1,0,0,2000.00,2.08
23,ロングを決済,TPSL,2012-08-17,950,100,-3000.00,-3.12,-44600.00,-0.1,0,0,2000.00,2.08
24,ショートエントリー,GapDn,2012-08-27,942,100,-1000.00,-1.06,-45600.00,-0.03,0,0,925.00,0.98
24,ショートを決済,TPSL,2012-08-28,932,100,-1000.00,-1.06,-45600.00,-0.03,0,0,925.00,0.98
25,ショートエントリー,GapDn,2012-08-29,923,100,-1000.00,-1.08,-46600.00,-0.03,0,0,1325.00,1.44
25,ショートを決済,TPSL,2012-08-31,913,100,-1000.00,-1.08,-46600.00,-0.03,0,0,1325.00,1.44
26,ショートエントリー,GapDn,2012-09-03,901,100,-1000.00,-1.11,-47600.00,-0.03,0,0,2275.00,2.52
26,ショートを決済,TPSL,2012-09-05,891,100,-1000.00,-1.11,-47600.00,-0.03,0,0,2275.00,2.52
27,ロングエントリー,GapUp,2012-09-10,899,100,-3000.00,-3.34,-50600.00,-0.1,0,0,2000.00,2.22
27,ロングを決済,TPSL,2012-09-11,889,100,-3000.00,-3.34,-50600.00,-0.1,0,0,2000.00,2.22
28,ショートエントリー,GapDn,2012-09-12,894,100,-3000.00,-3.36,-53600.00,-0.1,0,0,2000.00,2.24
28,ショートを決済,TPSL,2012-09-14,904,100,-3000.00,-3.36,-53600.00,-0.1,0,0,2000.00,2.24
29,ロングエントリー,GapUp,2012-09-18,909,100,-1000.00,-1.1,-54600.00,-0.03,0,0,1900.00,2.09
29,ロングを決済,TPSL,2012-09-20,919,100,-1000.00,-1.1,-54600.00,-0.03,0,0,1900.00,2.09
30,ロングエントリー,GapUp,2012-09-21,961,100,-3000.00,-3.12,-57600.00,-0.1,0,0,2000.00,2.08
30,ロングを決済,TPSL,2012-09-25,951,100,-3000.00,-3.12,-57600.00,-0.1,0,0,2000.00,2.08
31,ショートエントリー,GapDn,2012-09-27,940,100,-1000.00,-1.06,-58600.00,-0.03,0,0,2000.00,2.13
31,ショートを決済,TPSL,2012-09-28,930,100,-1000.00,-1.06,-58600.00,-0.03,0,0,2000.00,2.13
32,ショートエントリー,GapDn,2012-10-23,966,100,-200.00,-0.21,-58800.00,-0.01,800.00,0.83,1150.00,1.19
32,ショートを決済,TPSL,2012-10-24,948,100,-200.00,-0.21,-58800.00,-0.01,800.00,0.83,1150.00,1.19
