,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-308600.00,-10.29,-32900.00,-1.1,-275700.00,-9.19
総利益,349200.00,11.64,240000.00,8,109200.00,3.64
総損失,657800.00,21.93,272900.00,9.1,384900.00,12.83
最大ドローダウン,352600.00,11.6,,,,
バイ・アンド・ホールドでのリターン,10061775.00,335.39,,,,
シャープレシオ,-0.503,,,,,
ソルティノレシオ,-0.494,,,,,
プロフィットファクター,0.531,,0.879,,0.284,
最大保有数,100,,100,,100,
未決済の損益,53700.00,2,,,,
支払い済み手数料,132000.00,,65500.00,,66500.00,
終了したトレードの合計,131,,65,,66,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,55,,33,,22,
負けトレードの数,74,,30,,44,
勝率,41.98,,50.77,,33.33,
平均トレード,-2355.73,-0.08,-506.15,-0.02,-4177.27,-0.14
平均勝ちトレード,6349.09,0.21,7272.73,0.24,4963.64,0.17
平均負けトレード,8889.19,0.3,9096.67,0.3,8747.73,0.29
ペイオフレシオ（平均勝ち / 平均負けの比率）,0.714,,0.799,,0.567,
最大勝ちトレード,21500.00,21.52,21500.00,21.52,19000.00,7.24
最大負けトレード,50900.00,23.59,50900.00,18.63,38700.00,23.59
トレードでの平均バー数,19,,17,,21,
勝ちトレードでの平均バー数,20,,19,,22,
負けトレードでの平均バー数,19,,16,,21,
マージンコール,0,,0,,0,
