トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,InsBarSE,2012-05-11,881,100,-5500.00,-6.24,-5500.00,-0.18,5350.00,6.07,8400.00,9.53
1,ショートを決済,InsBarLE,2012-07-20,921,100,-5500.00,-6.24,-5500.00,-0.18,5350.00,6.07,8400.00,9.53
2,ロングエントリー,InsBarLE,2012-07-20,921,100,2700.00,2.93,-2800.00,0.09,4650.00,5.05,4100.00,4.45
2,ロングを決済,InsBarSE,2012-09-24,958,100,2700.00,2.93,-2800.00,0.09,4650.00,5.05,4100.00,4.45
3,ショートエントリー,InsBarSE,2012-09-24,958,100,4300.00,4.49,1500.00,0.14,6300.00,6.58,2950.00,3.08
3,ショートを決済,InsBarLE,2012-11-01,905,100,4300.00,4.49,1500.00,0.14,6300.00,6.58,2950.00,3.08
4,ロングエントリー,InsBarLE,2012-11-01,905,100,100.00,0.11,1600.00,0,2875.00,3.18,1875.00,2.07
4,ロングを決済,InsBarSE,2012-11-13,916,100,100.00,0.11,1600.00,0,2875.00,3.18,1875.00,2.07
5,ショートエントリー,InsBarSE,2012-11-13,916,100,-200.00,-0.22,1400.00,-0.01,975.00,1.06,3525.00,3.85
5,ショートを決済,InsBarLE,2012-12-11,908,100,-200.00,-0.22,1400.00,-0.01,975.00,1.06,3525.00,3.85
6,ロングエントリー,InsBarLE,2012-12-11,908,100,3200.00,3.52,4600.00,0.11,4075.00,4.49,1550.00,1.71
6,ロングを決済,InsBarSE,2013-01-22,950,100,3200.00,3.52,4600.00,0.11,4075.00,4.49,1550.00,1.71
7,ショートエントリー,InsBarSE,2013-01-22,950,100,-10500.00,-11.05,-5900.00,-0.35,1875.00,1.97,16250.00,17.11
7,ショートを決済,InsBarLE,2013-03-01,1045,100,-10500.00,-11.05,-5900.00,-0.35,1875.00,1.97,16250.00,17.11
8,ロングエントリー,InsBarLE,2013-03-01,1045,100,-1000.00,-0.96,-6900.00,-0.03,4875.00,4.67,1250.00,1.2
8,ロングを決済,InsBarSE,2013-03-18,1045,100,-1000.00,-0.96,-6900.00,-0.03,4875.00,4.67,1250.00,1.2
9,ショートエントリー,InsBarSE,2013-03-18,1045,100,-2000.00,-1.91,-8900.00,-0.07,250.00,0.24,1500.00,1.44
9,ショートを決済,InsBarLE,2013-03-21,1055,100,-2000.00,-1.91,-8900.00,-0.07,250.00,0.24,1500.00,1.44
10,ロングエントリー,InsBarLE,2013-03-21,1055,100,-1500.00,-1.42,-10400.00,-0.05,750.00,0.71,1250.00,1.18
10,ロングを決済,InsBarSE,2013-03-26,1050,100,-1500.00,-1.42,-10400.00,-0.05,750.00,0.71,1250.00,1.18
11,ショートエントリー,InsBarSE,2013-03-26,1050,100,4100.00,3.9,-6300.00,0.14,6375.00,6.07,750.00,0.71
11,ショートを決済,InsBarLE,2013-04-04,999,100,4100.00,3.9,-6300.00,0.14,6375.00,6.07,750.00,0.71
12,ロングエントリー,InsBarLE,2013-04-04,999,100,21500.00,21.52,15200.00,0.72,22975.00,23,1525.00,1.53
12,ロングを決済,InsBarSE,2013-04-30,1224,100,21500.00,21.52,15200.00,0.72,22975.00,23,1525.00,1.53
13,ショートエントリー,InsBarSE,2013-04-30,1224,100,-3600.00,-2.94,11600.00,-0.12,3775.00,3.08,19350.00,15.81
13,ショートを決済,InsBarLE,2013-08-22,1250,100,-3600.00,-2.94,11600.00,-0.12,3775.00,3.08,19350.00,15.81
14,ロングエントリー,InsBarLE,2013-08-22,1250,100,2300.00,1.84,13900.00,0.08,10250.00,8.2,1125.00,0.9
14,ロングを決済,InsBarSE,2013-11-01,1283,100,2300.00,1.84,13900.00,0.08,10250.00,8.2,1125.00,0.9
15,ショートエントリー,InsBarSE,2013-11-01,1283,100,300.00,0.23,14200.00,0.01,2925.00,2.28,450.00,0.35
15,ショートを決済,InsBarLE,2013-11-07,1270,100,300.00,0.23,14200.00,0.01,2925.00,2.28,450.00,0.35
16,ロングエントリー,InsBarLE,2013-11-07,1270,100,7300.00,5.75,21500.00,0.24,8750.00,6.89,2000.00,1.57
16,ロングを決済,InsBarSE,2013-12-16,1353,100,7300.00,5.75,21500.00,0.24,8750.00,6.89,2000.00,1.57
17,ショートエントリー,InsBarSE,2013-12-16,1353,100,2200.00,1.63,23700.00,0.07,6600.00,4.88,12900.00,9.53
17,ショートを決済,InsBarLE,2014-02-06,1321,100,2200.00,1.63,23700.00,0.07,6600.00,4.88,12900.00,9.53
18,ロングエントリー,InsBarLE,2014-02-06,1321,100,12400.00,9.39,36100.00,0.41,12900.00,9.77,2575.00,1.95
18,ロングを決済,InsBarSE,2014-02-26,1455,100,12400.00,9.39,36100.00,0.41,12900.00,9.77,2575.00,1.95
19,ショートエントリー,InsBarSE,2014-02-26,1455,100,1600.00,1.1,37700.00,0.05,18725.00,12.87,5225.00,3.59
19,ショートを決済,InsBarLE,2014-05-07,1429,100,1600.00,1.1,37700.00,0.05,18725.00,12.87,5225.00,3.59
20,ロングエントリー,InsBarLE,2014-05-07,1429,100,1800.00,1.26,39500.00,0.06,2300.00,1.61,3400.00,2.38
20,ロングを決済,InsBarSE,2014-05-14,1457,100,1800.00,1.26,39500.00,0.06,2300.00,1.61,3400.00,2.38
21,ショートエントリー,InsBarSE,2014-05-14,1457,100,-6300.00,-4.32,33200.00,-0.21,1850.00,1.27,5850.00,4.02
21,ショートを決済,InsBarLE,2014-05-30,1510,100,-6300.00,-4.32,33200.00,-0.21,1850.00,1.27,5850.00,4.02
22,ロングエントリー,InsBarLE,2014-05-30,1510,100,6400.00,4.24,39600.00,0.21,9600.00,6.36,1800.00,1.19
22,ロングを決済,InsBarSE,2014-06-23,1584,100,6400.00,4.24,39600.00,0.21,9600.00,6.36,1800.00,1.19
23,ショートエントリー,InsBarSE,2014-06-23,1584,100,-10600.00,-6.69,29000.00,-0.35,2900.00,1.83,14300.00,9.03
23,ショートを決済,InsBarLE,2014-07-28,1680,100,-10600.00,-6.69,29000.00,-0.35,2900.00,1.83,14300.00,9.03
24,ロングエントリー,InsBarLE,2014-07-28,1680,100,-700.00,-0.42,28300.00,-0.02,5825.00,3.47,4350.00,2.59
24,ロングを決済,InsBarSE,2014-08-11,1683,100,-700.00,-0.42,28300.00,-0.02,5825.00,3.47,4350.00,2.59
25,ショートエントリー,InsBarSE,2014-08-11,1683,100,6500.00,3.86,34800.00,0.21,17725.00,10.53,10200.00,6.06
25,ショートを決済,InsBarLE,2014-12-10,1608,100,6500.00,3.86,34800.00,0.21,17725.00,10.53,10200.00,6.06
26,ロングエントリー,InsBarLE,2014-12-10,1608,100,-7900.00,-4.91,26900.00,-0.26,200.00,0.12,9550.00,5.94
26,ロングを決済,InsBarSE,2015-01-05,1539,100,-7900.00,-4.91,26900.00,-0.26,200.00,0.12,9550.00,5.94
27,ショートエントリー,InsBarSE,2015-01-05,1539,100,-36300.00,-23.59,-9400.00,-1.2,2850.00,1.85,38000.00,24.69
27,ショートを決済,InsBarLE,2015-03-06,1892,100,-36300.00,-23.59,-9400.00,-1.2,2850.00,1.85,38000.00,24.69
28,ロングエントリー,InsBarLE,2015-03-06,1892,100,-4400.00,-2.33,-13800.00,-0.15,575.00,0.3,10075.00,5.33
28,ロングを決済,InsBarSE,2015-03-19,1858,100,-4400.00,-2.33,-13800.00,-0.15,575.00,0.3,10075.00,5.33
29,ショートエントリー,InsBarSE,2015-03-19,1858,100,-4000.00,-2.15,-17800.00,-0.13,1200.00,0.65,3500.00,1.88
29,ショートを決済,InsBarLE,2015-03-25,1888,100,-4000.00,-2.15,-17800.00,-0.13,1200.00,0.65,3500.00,1.88
30,ロングエントリー,InsBarLE,2015-03-25,1888,100,9000.00,4.77,-8800.00,0.3,13050.00,6.91,8000.00,4.24
30,ロングを決済,InsBarSE,2015-04-15,1988,100,9000.00,4.77,-8800.00,0.3,13050.00,6.91,8000.00,4.24
31,ショートエントリー,InsBarSE,2015-04-15,1988,100,-3700.00,-1.86,-12500.00,-0.12,725.00,0.36,13950.00,7.02
31,ショートを決済,InsBarLE,2015-05-07,2015,100,-3700.00,-1.86,-12500.00,-0.12,725.00,0.36,13950.00,7.02
32,ロングエントリー,InsBarLE,2015-05-07,2015,100,17200.00,8.54,4700.00,0.58,18500.00,9.18,1950.00,0.97
32,ロングを決済,InsBarSE,2015-06-17,2197,100,17200.00,8.54,4700.00,0.58,18500.00,9.18,1950.00,0.97
33,ショートエントリー,InsBarSE,2015-06-17,2197,100,-8300.00,-3.78,-3600.00,-0.28,9025.00,4.11,34100.00,15.52
33,ショートを決済,InsBarLE,2015-08-27,2270,100,-8300.00,-3.78,-3600.00,-0.28,9025.00,4.11,34100.00,15.52
34,ロングエントリー,InsBarLE,2015-08-27,2270,100,1600.00,0.7,-2000.00,0.05,9950.00,4.38,550.00,0.24
34,ロングを決済,InsBarSE,2015-08-31,2296,100,1600.00,0.7,-2000.00,0.05,9950.00,4.38,550.00,0.24
35,ショートエントリー,InsBarSE,2015-08-31,2296,100,1600.00,0.7,-400.00,0.05,9625.00,4.19,9525.00,4.15
35,ショートを決済,InsBarLE,2015-09-08,2270,100,1600.00,0.7,-400.00,0.05,9625.00,4.19,9525.00,4.15
