,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-195100.00,-6.5,-20600.00,-0.69,-174500.00,-5.82
総利益,113800.00,3.79,108700.00,3.62,5100.00,0.17
総損失,308900.00,10.3,129300.00,4.31,179600.00,5.99
最大ドローダウン,204900.00,6.83,,,,
バイ・アンド・ホールドでのリターン,9506160.00,316.87,,,,
シャープレシオ,-0.323,,,,,
ソルティノレシオ,-0.482,,,,,
プロフィットファクター,0.368,,0.841,,0.028,
最大保有数,100,,100,,100,
未決済の損益,138700.00,4.94,,,,
支払い済み手数料,26000.00,,12500.00,,13500.00,
終了したトレードの合計,25,,12,,13,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,9,,6,,3,
負けトレードの数,16,,6,,10,
勝率,36,,50,,23.08,
平均トレード,-7804.00,-0.26,-1716.67,-0.06,-13423.08,-0.45
平均勝ちトレード,12644.44,0.42,18116.67,0.6,1700.00,0.06
平均負けトレード,19306.25,0.64,21550.00,0.72,17960.00,0.6
ペイオフレシオ（平均勝ち / 平均負けの比率）,0.655,,0.841,,0.095,
最大勝ちトレード,47600.00,28.62,47600.00,28.62,3000.00,1.3
最大負けトレード,48900.00,18.69,48900.00,18.69,38500.00,17.92
トレードでの平均バー数,85,,106,,66,
勝ちトレードでの平均バー数,149,,174,,100,
負けトレードでの平均バー数,49,,38,,56,
マージンコール,0,,0,,0,
