トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,KltChSE,2012-04-05,920,100,1200.00,1.3,1200.00,0.04,9250.00,10.05,1750.00,1.9
1,ショートを決済,KltChLE,2012-06-22,893,100,1200.00,1.3,1200.00,0.04,9250.00,10.05,1750.00,1.9
2,ロングエントリー,KltChLE,2012-06-22,893,100,-200.00,-0.22,1000.00,-0.01,6450.00,7.22,2300.00,2.58
2,ロングを決済,KltChSE,2012-09-03,901,100,-200.00,-0.22,1000.00,-0.01,6450.00,7.22,2300.00,2.58
3,ショートエントリー,KltChSE,2012-09-03,901,100,-8300.00,-9.21,-7300.00,-0.28,1100.00,1.22,7800.00,8.66
3,ショートを決済,KltChLE,2012-10-05,974,100,-8300.00,-9.21,-7300.00,-0.28,1100.00,1.22,7800.00,8.66
4,ロングエントリー,KltChLE,2012-10-05,974,100,-8800.00,-9.03,-16100.00,-0.29,350.00,0.36,8900.00,9.14
4,ロングを決済,KltChSE,2012-11-05,896,100,-8800.00,-9.03,-16100.00,-0.29,350.00,0.36,8900.00,9.14
5,ショートエントリー,KltChSE,2012-11-05,896,100,-6700.00,-7.48,-22800.00,-0.22,0,0,6200.00,6.92
5,ショートを決済,KltChLE,2013-01-18,953,100,-6700.00,-7.48,-22800.00,-0.22,0,0,6200.00,6.92
6,ロングエントリー,KltChLE,2013-01-18,953,100,2300.00,2.41,-20500.00,0.08,14950.00,15.69,3175.00,3.33
6,ロングを決済,KltChSE,2013-04-02,986,100,2300.00,2.41,-20500.00,0.08,14950.00,15.69,3175.00,3.33
7,ショートエントリー,KltChSE,2013-04-02,986,100,-13300.00,-13.49,-33800.00,-0.45,0,0,12800.00,12.98
7,ショートを決済,KltChLE,2013-04-10,1109,100,-13300.00,-13.49,-33800.00,-0.45,0,0,12800.00,12.98
8,ロングエントリー,KltChLE,2013-04-10,1109,100,18500.00,16.68,-15300.00,0.62,38825.00,35.01,0,0
8,ロングを決済,KltChSE,2014-04-09,1304,100,18500.00,16.68,-15300.00,0.62,38825.00,35.01,0,0
9,ショートエントリー,KltChSE,2014-04-09,1304,100,-15500.00,-11.89,-30800.00,-0.52,3625.00,2.78,15000.00,11.5
9,ショートを決済,KltChLE,2014-05-09,1449,100,-15500.00,-11.89,-30800.00,-0.52,3625.00,2.78,15000.00,11.5
10,ロングエントリー,KltChLE,2014-05-09,1449,100,16600.00,11.46,-14200.00,0.56,32600.00,22.5,2750.00,1.9
10,ロングを決済,KltChSE,2014-10-03,1625,100,16600.00,11.46,-14200.00,0.56,32600.00,22.5,2750.00,1.9
11,ショートエントリー,KltChSE,2014-10-03,1625,100,-16000.00,-9.85,-30200.00,-0.54,11925.00,7.34,15500.00,9.54
11,ショートを決済,KltChLE,2014-11-04,1775,100,-16000.00,-9.85,-30200.00,-0.54,11925.00,7.34,15500.00,9.54
12,ロングエントリー,KltChLE,2014-11-04,1775,100,-26900.00,-15.15,-57100.00,-0.91,0,0,26400.00,14.87
12,ロングを決済,KltChSE,2015-01-05,1516,100,-26900.00,-15.15,-57100.00,-0.91,0,0,26400.00,14.87
13,ショートエントリー,KltChSE,2015-01-05,1516,100,-15700.00,-10.36,-72800.00,-0.53,550.00,0.36,15200.00,10.03
13,ショートを決済,KltChLE,2015-01-20,1663,100,-15700.00,-10.36,-72800.00,-0.53,550.00,0.36,15200.00,10.03
14,ロングエントリー,KltChLE,2015-01-20,1663,100,47600.00,28.62,-25200.00,1.63,86500.00,52.01,4525.00,2.72
14,ロングを決済,KltChSE,2015-08-25,2149,100,47600.00,28.62,-25200.00,1.63,86500.00,52.01,4525.00,2.72
15,ショートエントリー,KltChSE,2015-08-25,2149,100,-38500.00,-17.92,-63700.00,-1.29,14150.00,6.58,56550.00,26.31
15,ショートを決済,KltChLE,2016-07-20,2524,100,-38500.00,-17.92,-63700.00,-1.29,14150.00,6.58,56550.00,26.31
16,ロングエントリー,KltChLE,2016-07-20,2524,100,-26000.00,-10.3,-89700.00,-0.89,2750.00,1.09,25500.00,10.1
16,ロングを決済,KltChSE,2016-08-31,2274,100,-26000.00,-10.3,-89700.00,-0.89,2750.00,1.09,25500.00,10.1
17,ショートエントリー,KltChSE,2016-08-31,2274,100,-17600.00,-7.74,-107300.00,-0.6,19100.00,8.4,17100.00,7.52
17,ショートを決済,KltChLE,2016-12-14,2440,100,-17600.00,-7.74,-107300.00,-0.6,19100.00,8.4,17100.00,7.52
18,ロングエントリー,KltChLE,2016-12-14,2440,100,18100.00,7.42,-89200.00,0.63,50750.00,20.8,10900.00,4.47
18,ロングを決済,KltChSE,2017-12-18,2631,100,18100.00,7.42,-89200.00,0.63,50750.00,20.8,10900.00,4.47
19,ショートエントリー,KltChSE,2017-12-18,2631,100,900.00,0.34,-88300.00,0.03,35350.00,13.44,9950.00,3.78
19,ショートを決済,KltChLE,2018-04-10,2612,100,900.00,0.34,-88300.00,0.03,35350.00,13.44,9950.00,3.78
20,ロングエントリー,KltChLE,2018-04-10,2612,100,-18000.00,-6.89,-106300.00,-0.62,10700.00,4.1,17500.00,6.7
20,ロングを決済,KltChSE,2018-07-03,2442,100,-18000.00,-6.89,-106300.00,-0.62,10700.00,4.1,17500.00,6.7
21,ショートエントリー,KltChSE,2018-07-03,2442,100,-18500.00,-7.58,-124800.00,-0.64,9250.00,3.79,28650.00,11.73
21,ショートを決済,KltChLE,2018-09-25,2617,100,-18500.00,-7.58,-124800.00,-0.64,9250.00,3.79,28650.00,11.73
22,ロングエントリー,KltChLE,2018-09-25,2617,100,-48900.00,-18.69,-173700.00,-1.7,2500.00,0.96,48400.00,18.49
22,ロングを決済,KltChSE,2018-11-01,2138,100,-48900.00,-18.69,-173700.00,-1.7,2500.00,0.96,48400.00,18.49
23,ショートエントリー,KltChSE,2018-11-01,2138,100,-29500.00,-13.8,-203200.00,-1.04,10800.00,5.05,29000.00,13.56
23,ショートを決済,KltChLE,2019-02-28,2423,100,-29500.00,-13.8,-203200.00,-1.04,10800.00,5.05,29000.00,13.56
24,ロングエントリー,KltChLE,2019-02-28,2423,100,5600.00,2.31,-197600.00,0.2,48000.00,19.81,16400.00,6.77
24,ロングを決済,KltChSE,2020-03-02,2489,100,5600.00,2.31,-197600.00,0.2,48000.00,19.81,16400.00,6.77
25,ショートエントリー,KltChSE,2020-03-02,2489,100,3000.00,1.21,-194600.00,0.11,35700.00,14.34,24750.00,9.94
25,ショートを決済,KltChLE,2020-11-10,2449,100,3000.00,1.21,-194600.00,0.11,35700.00,14.34,24750.00,9.94
26,ロングエントリー,KltChLE,2020-11-10,2449,,,,,,,,,
26,ロングを決済,始値,,,,,,,,,,,
