,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-226500.00,-7.55,9900.00,0.33,-236400.00,-7.88
総利益,536800.00,17.89,333000.00,11.1,203800.00,6.79
総損失,763300.00,25.44,323100.00,10.77,440200.00,14.67
最大ドローダウン,239400.00,7.97,,,,
バイ・アンド・ホールドでのリターン,9533106.00,317.77,,,,
シャープレシオ,-0.535,,,,,
ソルティノレシオ,-0.554,,,,,
プロフィットファクター,0.703,,1.031,,0.463,
最大保有数,100,,100,,100,
未決済の損益,44500.00,1.6,,,,
支払い済み手数料,211000.00,,106000.00,,105000.00,
終了したトレードの合計,210,,105,,105,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,67,,41,,26,
負けトレードの数,140,,62,,78,
勝率,31.9,,39.05,,24.76,
平均トレード,-1078.57,-0.04,94.29,0,-2251.43,-0.08
平均勝ちトレード,8011.94,0.27,8121.95,0.27,7838.46,0.26
平均負けトレード,5452.14,0.18,5211.29,0.17,5643.59,0.19
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.47,,1.559,,1.389,
最大勝ちトレード,30300.00,17.76,29400.00,17.76,30300.00,11.61
最大負けトレード,20200.00,8.81,20200.00,8.81,14400.00,6.75
トレードでの平均バー数,12,,13,,12,
勝ちトレードでの平均バー数,20,,20,,20,
負けトレードでの平均バー数,9,,8,,10,
マージンコール,0,,0,,0,
