トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,MacdLE,2012-04-19,918,100,-4900.00,-5.34,-4900.00,-0.16,0,0,4400.00,4.79
1,ロングを決済,MacdSE,2012-05-07,884,100,-4900.00,-5.34,-4900.00,-0.16,0,0,4400.00,4.79
2,ショートエントリー,MacdSE,2012-05-07,884,100,-2000.00,-2.26,-6900.00,-0.07,400.00,0.45,2725.00,3.08
2,ショートを決済,MacdLE,2012-05-16,894,100,-2000.00,-2.26,-6900.00,-0.07,400.00,0.45,2725.00,3.08
3,ロングエントリー,MacdLE,2012-05-16,894,100,-2600.00,-2.91,-9500.00,-0.09,0,0,2150.00,2.4
3,ロングを決済,MacdSE,2012-05-17,878,100,-2600.00,-2.91,-9500.00,-0.09,0,0,2150.00,2.4
4,ショートエントリー,MacdSE,2012-05-17,878,100,3500.00,3.99,-6000.00,0.12,5550.00,6.32,825.00,0.94
4,ショートを決済,MacdLE,2012-06-12,833,100,3500.00,3.99,-6000.00,0.12,5550.00,6.32,825.00,0.94
5,ロングエントリー,MacdLE,2012-06-12,833,100,8000.00,9.6,2000.00,0.27,11700.00,14.05,1675.00,2.01
5,ロングを決済,MacdSE,2012-07-17,923,100,8000.00,9.6,2000.00,0.27,11700.00,14.05,1675.00,2.01
6,ショートエントリー,MacdSE,2012-07-17,923,100,-2100.00,-2.28,-100.00,-0.07,2925.00,3.17,2325.00,2.52
6,ショートを決済,MacdLE,2012-08-08,934,100,-2100.00,-2.28,-100.00,-0.07,2925.00,3.17,2325.00,2.52
7,ロングエントリー,MacdLE,2012-08-08,934,100,100.00,0.11,0,0,2350.00,2.52,1650.00,1.77
7,ロングを決済,MacdSE,2012-08-27,945,100,100.00,0.11,0,0,2350.00,2.52,1650.00,1.77
8,ショートエントリー,MacdSE,2012-08-27,945,100,-2600.00,-2.75,-2600.00,-0.09,5500.00,5.82,3250.00,3.44
8,ショートを決済,MacdLE,2012-09-21,961,100,-2600.00,-2.75,-2600.00,-0.09,5500.00,5.82,3250.00,3.44
9,ロングエントリー,MacdLE,2012-09-21,961,100,-1800.00,-1.87,-4400.00,-0.06,900.00,0.94,4725.00,4.92
9,ロングを決済,MacdSE,2012-10-15,953,100,-1800.00,-1.87,-4400.00,-0.06,900.00,0.94,4725.00,4.92
10,ショートエントリー,MacdSE,2012-10-15,953,100,-2700.00,-2.83,-7100.00,-0.09,1800.00,1.89,2575.00,2.7
10,ショートを決済,MacdLE,2012-10-19,970,100,-2700.00,-2.83,-7100.00,-0.09,1800.00,1.89,2575.00,2.7
11,ロングエントリー,MacdLE,2012-10-19,970,100,-3200.00,-3.3,-10300.00,-0.11,750.00,0.77,2700.00,2.78
11,ロングを決済,MacdSE,2012-10-24,948,100,-3200.00,-3.3,-10300.00,-0.11,750.00,0.77,2700.00,2.78
12,ショートエントリー,MacdSE,2012-10-24,948,100,1700.00,1.79,-8600.00,0.06,5300.00,5.59,700.00,0.74
