,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-425500.00,-14.18,-90900.00,-3.03,-334600.00,-11.15
総利益,451500.00,15.05,301900.00,10.06,149600.00,4.99
総損失,877000.00,29.23,392800.00,13.09,484200.00,16.14
最大ドローダウン,434900.00,14.45,,,,
バイ・アンド・ホールドでのリターン,9386703.00,312.89,,,,
シャープレシオ,-0.555,,,,,
ソルティノレシオ,-0.532,,,,,
プロフィットファクター,0.515,,0.769,,0.309,
最大保有数,100,,100,,100,
未決済の損益,48000.00,1.86,,,,
支払い済み手数料,174000.00,,86500.00,,87500.00,
終了したトレードの合計,173,,86,,87,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,46,,27,,19,
負けトレードの数,127,,59,,68,
勝率,26.59,,31.4,,21.84,
平均トレード,-2459.54,-0.08,-1056.98,-0.04,-3845.98,-0.13
平均勝ちトレード,9815.22,0.33,11181.48,0.37,7873.68,0.26
平均負けトレード,6905.51,0.23,6657.63,0.22,7120.59,0.24
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.421,,1.679,,1.106,
最大勝ちトレード,29300.00,17.14,28500.00,17.14,29300.00,11.46
最大負けトレード,19000.00,8.17,18100.00,7,19000.00,8.17
トレードでの平均バー数,15,,17,,13,
勝ちトレードでの平均バー数,30,,33,,26,
負けトレードでの平均バー数,10,,10,,9,
マージンコール,0,,0,,0,
