トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,MomSE,2012-04-03,929,100,5500.00,5.92,5500.00,0.18,10150.00,10.93,1100.00,1.18
1,ショートを決済,MomLE,2012-06-20,859,100,5500.00,5.92,5500.00,0.18,10150.00,10.93,1100.00,1.18
2,ロングエントリー,MomLE,2012-06-20,859,100,3900.00,4.54,9400.00,0.13,9100.00,10.59,650.00,0.76
2,ロングを決済,MomSE,2012-07-23,908,100,3900.00,4.54,9400.00,0.13,9100.00,10.59,650.00,0.76
3,ショートエントリー,MomSE,2012-07-23,908,100,-3500.00,-3.85,5900.00,-0.12,1425.00,1.57,3000.00,3.3
3,ショートを決済,MomLE,2012-08-07,933,100,-3500.00,-3.85,5900.00,-0.12,1425.00,1.57,3000.00,3.3
4,ロングエントリー,MomLE,2012-08-07,933,100,-3300.00,-3.54,2600.00,-0.11,2450.00,2.63,2800.00,3
4,ロングを決済,MomSE,2012-08-31,910,100,-3300.00,-3.54,2600.00,-0.11,2450.00,2.63,2800.00,3
5,ショートエントリー,MomSE,2012-08-31,910,100,-5000.00,-5.49,-2400.00,-0.17,2000.00,2.2,6750.00,7.42
5,ショートを決済,MomLE,2012-10-02,950,100,-5000.00,-5.49,-2400.00,-0.17,2000.00,2.2,6750.00,7.42
6,ロングエントリー,MomLE,2012-10-02,950,100,-500.00,-0.53,-2900.00,-0.02,2000.00,2.11,0,0
6,ロングを決済,MomSE,2012-10-10,955,100,-500.00,-0.53,-2900.00,-0.02,2000.00,2.11,0,0
7,ショートエントリー,MomSE,2012-10-10,955,100,-1900.00,-1.99,-4800.00,-0.06,2000.00,2.09,1400.00,1.47
7,ショートを決済,MomLE,2012-10-17,964,100,-1900.00,-1.99,-4800.00,-0.06,2000.00,2.09,1400.00,1.47
8,ロングエントリー,MomLE,2012-10-17,964,100,-2600.00,-2.7,-7400.00,-0.09,1350.00,1.4,2100.00,2.18
8,ロングを決済,MomSE,2012-10-24,948,100,-2600.00,-2.7,-7400.00,-0.09,1350.00,1.4,2100.00,2.18
9,ショートエントリー,MomSE,2012-10-24,948,100,1500.00,1.58,-5900.00,0.05,5300.00,5.59,700.00,0.74
9,ショートを決済,MomLE,2012-11-20,923,100,1500.00,1.58,-5900.00,0.05,5300.00,5.59,700.00,0.74
10,ロングエントリー,MomLE,2012-11-20,923,100,-2600.00,-2.82,-8500.00,-0.09,1825.00,1.98,2100.00,2.28
10,ロングを決済,MomSE,2012-12-04,907,100,-2600.00,-2.82,-8500.00,-0.09,1825.00,1.98,2100.00,2.28
11,ショートエントリー,MomSE,2012-12-04,907,100,-3600.00,-3.97,-12100.00,-0.12,450.00,0.5,3100.00,3.42
