,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-828400.00,-27.61,-283100.00,-9.44,-545300.00,-18.18
総利益,718800.00,23.96,432500.00,14.42,286300.00,9.54
総損失,1547200.00,51.57,715600.00,23.85,831600.00,27.72
最大ドローダウン,853600.00,28.41,,,,
バイ・アンド・ホールドでのリターン,9575038.00,319.17,,,,
シャープレシオ,-0.731,,,,,
ソルティノレシオ,-0.624,,,,,
プロフィットファクター,0.465,,0.604,,0.344,
最大保有数,100,,100,,100,
未決済の損益,-28900.00,-1.33,,,,
支払い済み手数料,500000.00,,250500.00,,249500.00,
終了したトレードの合計,499,,250,,249,
未決済トレードの合計,1,,0,,1,
勝ちトレードの数,123,,73,,50,
負けトレードの数,372,,175,,197,
勝率,24.65,,29.2,,20.08,
平均トレード,-1660.12,-0.06,-1132.40,-0.04,-2189.96,-0.07
平均勝ちトレード,5843.90,0.19,5924.66,0.2,5726.00,0.19
平均負けトレード,4159.14,0.14,4089.14,0.14,4221.32,0.14
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.405,,1.449,,1.356,
最大勝ちトレード,38800.00,15.09,32400.00,15.09,38800.00,14.37
最大負けトレード,16800.00,7.5,13800.00,6.64,16800.00,7.5
トレードでの平均バー数,6,,6,,5,
勝ちトレードでの平均バー数,11,,11,,12,
負けトレードでの平均バー数,4,,4,,4,
マージンコール,0,,0,,0,
