トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,MACrossLE,2012-04-17,915,100,-1500.00,-1.64,-1500.00,-0.05,0,0,1375.00,1.5
1,ロングを決済,MACrossSE,2012-04-18,915,100,-1500.00,-1.64,-1500.00,-0.05,0,0,1375.00,1.5
2,ショートエントリー,MACrossSE,2012-04-18,915,100,-1300.00,-1.42,-2800.00,-0.04,0,0,1750.00,1.91
2,ショートを決済,MACrossLE,2012-04-19,918,100,-1300.00,-1.42,-2800.00,-0.04,0,0,1750.00,1.91
3,ロングエントリー,MACrossLE,2012-04-19,918,100,-1400.00,-1.53,-4200.00,-0.05,75.00,0.08,1550.00,1.69
3,ロングを決済,MACrossSE,2012-04-25,914,100,-1400.00,-1.53,-4200.00,-0.05,75.00,0.08,1550.00,1.69
4,ショートエントリー,MACrossSE,2012-04-25,914,100,1000.00,1.09,-3200.00,0.03,3400.00,3.72,725.00,0.79
4,ショートを決済,MACrossLE,2012-05-16,894,100,1000.00,1.09,-3200.00,0.03,3400.00,3.72,725.00,0.79
5,ロングエントリー,MACrossLE,2012-05-16,894,100,-2600.00,-2.91,-5800.00,-0.09,0,0,2150.00,2.4
5,ロングを決済,MACrossSE,2012-05-17,878,100,-2600.00,-2.91,-5800.00,-0.09,0,0,2150.00,2.4
6,ショートエントリー,MACrossSE,2012-05-17,878,100,3500.00,3.99,-2300.00,0.12,5550.00,6.32,825.00,0.94
6,ショートを決済,MACrossLE,2012-06-12,833,100,3500.00,3.99,-2300.00,0.12,5550.00,6.32,825.00,0.94
7,ロングエントリー,MACrossLE,2012-06-12,833,100,-1700.00,-2.04,-4000.00,-0.06,0,0,1675.00,2.01
7,ロングを決済,MACrossSE,2012-06-13,826,100,-1700.00,-2.04,-4000.00,-0.06,0,0,1675.00,2.01
8,ショートエントリー,MACrossSE,2012-06-13,826,100,-1900.00,-2.3,-5900.00,-0.06,0,0,1775.00,2.15
8,ショートを決済,MACrossLE,2012-06-14,835,100,-1900.00,-2.3,-5900.00,-0.06,0,0,1775.00,2.15
9,ロングエントリー,MACrossLE,2012-06-14,835,100,8600.00,10.3,2700.00,0.29,11500.00,13.77,750.00,0.9
9,ロングを決済,MACrossSE,2012-07-11,931,100,8600.00,10.3,2700.00,0.29,11500.00,13.77,750.00,0.9
10,ショートエントリー,MACrossSE,2012-07-11,931,100,1000.00,1.07,3700.00,0.03,3725.00,4,1400.00,1.5
10,ショートを決済,MACrossLE,2012-07-31,911,100,1000.00,1.07,3700.00,0.03,3725.00,4,1400.00,1.5
11,ロングエントリー,MACrossLE,2012-07-31,911,100,-600.00,-0.66,3100.00,-0.02,0,0,1100.00,1.21
11,ロングを決済,MACrossSE,2012-08-02,915,100,-600.00,-0.66,3100.00,-0.02,0,0,1100.00,1.21
12,ショートエントリー,MACrossSE,2012-08-02,915,100,-800.00,-0.87,2300.00,-0.03,0,0,1125.00,1.23
12,ショートを決済,MACrossLE,2012-08-03,913,100,-800.00,-0.87,2300.00,-0.03,0,0,1125.00,1.23
13,ロングエントリー,MACrossLE,2012-08-03,913,100,2600.00,2.85,4900.00,0.09,4450.00,4.87,1300.00,1.42
13,ロングを決済,MACrossSE,2012-08-21,949,100,2600.00,2.85,4900.00,0.09,4450.00,4.87,1300.00,1.42
14,ショートエントリー,MACrossSE,2012-08-21,949,100,-1000.00,-1.05,3900.00,-0.03,0,0,975.00,1.03
14,ショートを決済,MACrossLE,2012-08-22,949,100,-1000.00,-1.05,3900.00,-0.03,0,0,975.00,1.03
15,ロングエントリー,MACrossLE,2012-08-22,949,100,-2000.00,-2.11,1900.00,-0.07,0,0,1500.00,1.58
15,ロングを決済,MACrossSE,2012-08-24,939,100,-2000.00,-2.11,1900.00,-0.07,0,0,1500.00,1.58
16,ショートエントリー,MACrossSE,2012-08-24,939,100,2000.00,2.13,3900.00,0.07,4900.00,5.22,1350.00,1.44
16,ショートを決済,MACrossLE,2012-09-18,909,100,2000.00,2.13,3900.00,0.07,4900.00,5.22,1350.00,1.44
17,ロングエントリー,MACrossLE,2012-09-18,909,100,200.00,0.22,4100.00,0.01,5850.00,6.44,1400.00,1.54
17,ロングを決済,MACrossSE,2012-10-01,921,100,200.00,0.22,4100.00,0.01,5850.00,6.44,1400.00,1.54
18,ショートエントリー,MACrossSE,2012-10-01,921,100,-3800.00,-4.13,300.00,-0.13,0,0,3300.00,3.58
18,ショートを決済,MACrossLE,2012-10-02,949,100,-3800.00,-4.13,300.00,-0.13,0,0,3300.00,3.58
19,ロングエントリー,MACrossLE,2012-10-02,949,100,-1800.00,-1.9,-1500.00,-0.06,2100.00,2.21,1400.00,1.48
19,ロングを決済,MACrossSE,2012-10-11,941,100,-1800.00,-1.9,-1500.00,-0.06,2100.00,2.21,1400.00,1.48
20,ショートエントリー,MACrossSE,2012-10-11,941,100,-3000.00,-3.19,-4500.00,-0.1,600.00,0.64,2650.00,2.82
20,ショートを決済,MACrossLE,2012-10-17,961,100,-3000.00,-3.19,-4500.00,-0.1,600.00,0.64,2650.00,2.82
21,ロングエントリー,MACrossLE,2012-10-17,961,100,-2300.00,-2.39,-6800.00,-0.08,1650.00,1.72,1800.00,1.87
