,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-267800.00,-8.93,-13800.00,-0.46,-254000.00,-8.47
総利益,390100.00,13,289300.00,9.64,100800.00,3.36
総損失,657900.00,21.93,303100.00,10.1,354800.00,11.83
最大ドローダウン,267500.00,8.92,,,,
バイ・アンド・ホールドでのリターン,10031341.00,334.38,,,,
シャープレシオ,-0.5,,,,,
ソルティノレシオ,-0.525,,,,,
プロフィットファクター,0.593,,0.954,,0.284,
最大保有数,100,,100,,100,
未決済の損益,54100.00,1.98,,,,
支払い済み手数料,129000.00,,65000.00,,64000.00,
終了したトレードの合計,128,,64,,64,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,38,,24,,14,
負けトレードの数,89,,40,,49,
勝率,29.69,,37.5,,21.88,
平均トレード,-2092.19,-0.07,-215.62,-0.01,-3968.75,-0.13
平均勝ちトレード,10265.79,0.34,12054.17,0.4,7200.00,0.24
平均負けトレード,7392.13,0.25,7577.50,0.25,7240.82,0.24
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.389,,1.591,,0.994,
最大勝ちトレード,40100.00,19.53,40100.00,19.53,32400.00,11.33
最大負けトレード,31600.00,13.76,17200.00,9.69,31600.00,13.76
トレードでの平均バー数,19,,22,,16,
勝ちトレードでの平均バー数,33,,37,,26,
負けトレードでの平均バー数,14,,14,,13,
マージンコール,0,,0,,0,
