トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,MA2CrossLE,2012-06-21,883,100,-300.00,-0.34,-300.00,-0.01,6200.00,7.02,1800.00,2.04
1,ロングを決済,MA2CrossSE,2012-07-26,895,100,-300.00,-0.34,-300.00,-0.01,6200.00,7.02,1800.00,2.04
2,ショートエントリー,MA2CrossSE,2012-07-26,895,100,-3900.00,-4.36,-4200.00,-0.13,125.00,0.14,5125.00,5.73
2,ショートを決済,MA2CrossLE,2012-08-09,924,100,-3900.00,-4.36,-4200.00,-0.13,125.00,0.14,5125.00,5.73
3,ロングエントリー,MA2CrossLE,2012-08-09,924,100,-2400.00,-2.6,-6600.00,-0.08,3350.00,3.63,1900.00,2.06
3,ロングを決済,MA2CrossSE,2012-08-31,910,100,-2400.00,-2.6,-6600.00,-0.08,3350.00,3.63,1900.00,2.06
4,ショートエントリー,MA2CrossSE,2012-08-31,910,100,-5800.00,-6.37,-12400.00,-0.19,2000.00,2.2,6750.00,7.42
4,ショートを決済,MA2CrossLE,2012-09-24,958,100,-5800.00,-6.37,-12400.00,-0.19,2000.00,2.2,6750.00,7.42
5,ロングエントリー,MA2CrossLE,2012-09-24,958,100,-4800.00,-5.01,-17200.00,-0.16,1950.00,2.04,4425.00,4.62
5,ロングを決済,MA2CrossSE,2012-10-29,920,100,-4800.00,-5.01,-17200.00,-0.16,1950.00,2.04,4425.00,4.62
6,ショートエントリー,MA2CrossSE,2012-10-29,920,100,-1300.00,-1.41,-18500.00,-0.04,2500.00,2.72,2500.00,2.72
6,ショートを決済,MA2CrossLE,2012-11-27,923,100,-1300.00,-1.41,-18500.00,-0.04,2500.00,2.72,2500.00,2.72
7,ロングエントリー,MA2CrossLE,2012-11-27,923,100,-2000.00,-2.17,-20500.00,-0.07,1825.00,1.98,2425.00,2.63
7,ロングを決済,MA2CrossSE,2012-12-07,913,100,-2000.00,-2.17,-20500.00,-0.07,1825.00,1.98,2425.00,2.63
8,ショートエントリー,MA2CrossSE,2012-12-07,913,100,-2300.00,-2.52,-22800.00,-0.08,1050.00,1.15,2575.00,2.82
8,ショートを決済,MA2CrossLE,2013-01-09,926,100,-2300.00,-2.52,-22800.00,-0.08,1050.00,1.15,2575.00,2.82
9,ロングエントリー,MA2CrossLE,2013-01-09,926,100,10900.00,11.77,-11900.00,0.37,17650.00,19.06,1225.00,1.32
9,ロングを決済,MA2CrossSE,2013-03-18,1045,100,10900.00,11.77,-11900.00,0.37,17650.00,19.06,1225.00,1.32
10,ショートエントリー,MA2CrossSE,2013-03-18,1045,100,-6500.00,-6.22,-18400.00,-0.22,5875.00,5.62,6750.00,6.46
10,ショートを決済,MA2CrossLE,2013-04-10,1100,100,-6500.00,-6.22,-18400.00,-0.22,5875.00,5.62,6750.00,6.46
11,ロングエントリー,MA2CrossLE,2013-04-10,1100,100,15300.00,13.91,-3100.00,0.51,30750.00,27.95,875.00,0.8
11,ロングを決済,MA2CrossSE,2013-06-03,1263,100,15300.00,13.91,-3100.00,0.51,30750.00,27.95,875.00,0.8
12,ショートエントリー,MA2CrossSE,2013-06-03,1263,100,1500.00,1.19,-1600.00,0.05,7675.00,6.08,6200.00,4.91
12,ショートを決済,MA2CrossLE,2013-06-26,1238,100,1500.00,1.19,-1600.00,0.05,7675.00,6.08,6200.00,4.91
13,ロングエントリー,MA2CrossLE,2013-06-26,1238,100,500.00,0.4,-1100.00,0.02,1000.00,0.81,2675.00,2.16
13,ロングを決済,MA2CrossSE,2013-06-27,1253,100,500.00,0.4,-1100.00,0.02,1000.00,0.81,2675.00,2.16
14,ショートエントリー,MA2CrossSE,2013-06-27,1253,100,-5700.00,-4.55,-6800.00,-0.19,675.00,0.54,5200.00,4.15
14,ショートを決済,MA2CrossLE,2013-07-02,1300,100,-5700.00,-4.55,-6800.00,-0.19,675.00,0.54,5200.00,4.15
15,ロングエントリー,MA2CrossLE,2013-07-02,1300,100,-6700.00,-5.15,-13500.00,-0.22,4000.00,3.08,7500.00,5.77
15,ロングを決済,MA2CrossSE,2013-07-31,1243,100,-6700.00,-5.15,-13500.00,-0.22,4000.00,3.08,7500.00,5.77
16,ショートエントリー,MA2CrossSE,2013-07-31,1243,100,-3700.00,-2.98,-17200.00,-0.12,1050.00,0.84,8700.00,7
16,ショートを決済,MA2CrossLE,2013-08-30,1270,100,-3700.00,-2.98,-17200.00,-0.12,1050.00,0.84,8700.00,7
17,ロングエントリー,MA2CrossLE,2013-08-30,1270,100,-3200.00,-2.52,-20400.00,-0.11,0,0,2875.00,2.26
17,ロングを決済,MA2CrossSE,2013-09-02,1248,100,-3200.00,-2.52,-20400.00,-0.11,0,0,2875.00,2.26
18,ショートエントリー,MA2CrossSE,2013-09-02,1248,100,-8700.00,-6.97,-29100.00,-0.29,0,0,8200.00,6.57
18,ショートを決済,MA2CrossLE,2013-09-09,1325,100,-8700.00,-6.97,-29100.00,-0.29,0,0,8200.00,6.57
19,ロングエントリー,MA2CrossLE,2013-09-09,1325,100,-6000.00,-4.53,-35100.00,-0.2,2750.00,2.08,6250.00,4.72
19,ロングを決済,MA2CrossSE,2013-10-03,1275,100,-6000.00,-4.53,-35100.00,-0.2,2750.00,2.08,6250.00,4.72
20,ショートエントリー,MA2CrossSE,2013-10-03,1275,100,-6800.00,-5.33,-41900.00,-0.23,2625.00,2.06,7250.00,5.69
20,ショートを決済,MA2CrossLE,2013-10-16,1333,100,-6800.00,-5.33,-41900.00,-0.23,2625.00,2.06,7250.00,5.69
21,ロングエントリー,MA2CrossLE,2013-10-16,1333,100,-5300.00,-3.98,-47200.00,-0.18,200.00,0.15,7550.00,5.66
21,ロングを決済,MA2CrossSE,2013-10-30,1290,100,-5300.00,-3.98,-47200.00,-0.18,200.00,0.15,7550.00,5.66
22,ショートエントリー,MA2CrossSE,2013-10-30,1290,100,-4800.00,-3.72,-52000.00,-0.16,3625.00,2.81,4750.00,3.68
22,ショートを決済,MA2CrossLE,2013-11-14,1328,100,-4800.00,-3.72,-52000.00,-0.16,3625.00,2.81,4750.00,3.68
23,ロングエントリー,MA2CrossLE,2013-11-14,1328,100,-6800.00,-5.12,-58800.00,-0.23,0,0,6300.00,4.74
23,ロングを決済,MA2CrossSE,2013-11-27,1270,100,-6800.00,-5.12,-58800.00,-0.23,0,0,6300.00,4.74
24,ショートエントリー,MA2CrossSE,2013-11-27,1270,100,-7300.00,-5.75,-66100.00,-0.25,0,0,6800.00,5.35
24,ショートを決済,MA2CrossLE,2013-12-12,1333,100,-7300.00,-5.75,-66100.00,-0.25,0,0,6800.00,5.35
25,ロングエントリー,MA2CrossLE,2013-12-12,1333,100,700.00,0.53,-65400.00,0.02,13900.00,10.43,1050.00,0.79
25,ロングを決済,MA2CrossSE,2014-01-30,1350,100,700.00,0.53,-65400.00,0.02,13900.00,10.43,1050.00,0.79
26,ショートエントリー,MA2CrossSE,2014-01-30,1350,100,-3300.00,-2.44,-68700.00,-0.11,6300.00,4.67,10300.00,7.63
26,ショートを決済,MA2CrossLE,2014-02-17,1373,100,-3300.00,-2.44,-68700.00,-0.11,6300.00,4.67,10300.00,7.63
27,ロングエントリー,MA2CrossLE,2014-02-17,1373,100,1200.00,0.87,-67500.00,0.04,12425.00,9.05,2525.00,1.84
27,ロングを決済,MA2CrossSE,2014-03-24,1395,100,1200.00,0.87,-67500.00,0.04,12425.00,9.05,2525.00,1.84
28,ショートエントリー,MA2CrossSE,2014-03-24,1395,100,-2300.00,-1.65,-69800.00,-0.08,12725.00,9.12,3725.00,2.67
28,ショートを決済,MA2CrossLE,2014-04-30,1408,100,-2300.00,-1.65,-69800.00,-0.08,12725.00,9.12,3725.00,2.67
29,ロングエントリー,MA2CrossLE,2014-04-30,1408,100,27500.00,19.53,-42300.00,0.94,33025.00,23.46,1300.00,0.92
29,ロングを決済,MA2CrossSE,2014-08-12,1693,100,27500.00,19.53,-42300.00,0.94,33025.00,23.46,1300.00,0.92
30,ショートエントリー,MA2CrossSE,2014-08-12,1693,100,-5400.00,-3.19,-47700.00,-0.18,4650.00,2.75,4900.00,2.89
30,ショートを決済,MA2CrossLE,2014-08-21,1737,100,-5400.00,-3.19,-47700.00,-0.18,4650.00,2.75,4900.00,2.89
31,ロングエントリー,MA2CrossLE,2014-08-21,1737,100,-7600.00,-4.38,-55300.00,-0.26,3800.00,2.19,7100.00,4.09
31,ロングを決済,MA2CrossSE,2014-09-24,1671,100,-7600.00,-4.38,-55300.00,-0.26,3800.00,2.19,7100.00,4.09
32,ショートエントリー,MA2CrossSE,2014-09-24,1671,100,-11400.00,-6.82,-66700.00,-0.39,16525.00,9.89,10900.00,6.52
32,ショートを決済,MA2CrossLE,2014-11-04,1775,100,-11400.00,-6.82,-66700.00,-0.39,16525.00,9.89,10900.00,6.52
33,ロングエントリー,MA2CrossLE,2014-11-04,1775,100,-17200.00,-9.69,-83900.00,-0.59,0,0,19000.00,10.7
