,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-53600.00,-1.79,92500.00,3.08,-146100.00,-4.87
総利益,406700.00,13.56,275200.00,9.17,131500.00,4.38
総損失,460300.00,15.34,182700.00,6.09,277600.00,9.25
最大ドローダウン,136700.00,4.45,,,,
バイ・アンド・ホールドでのリターン,9371850.00,312.4,,,,
シャープレシオ,-0.382,,,,,
ソルティノレシオ,-0.44,,,,,
プロフィットファクター,0.884,,1.506,,0.474,
最大保有数,100,,100,,100,
未決済の損益,53000.00,1.8,,,,
支払い済み手数料,88000.00,,43500.00,,44500.00,
終了したトレードの合計,87,,43,,44,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,39,,21,,18,
負けトレードの数,47,,22,,25,
勝率,44.83,,48.84,,40.91,
平均トレード,-616.09,-0.02,2151.16,0.07,-3320.45,-0.11
平均勝ちトレード,10428.21,0.35,13104.76,0.44,7305.56,0.24
平均負けトレード,9793.62,0.33,8304.55,0.28,11104.00,0.37
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.065,,1.578,,0.658,
最大勝ちトレード,45300.00,25.71,39600.00,25.71,45300.00,15.84
最大負けトレード,39200.00,13.74,37000.00,13.3,39200.00,13.74
トレードでの平均バー数,29,,30,,28,
勝ちトレードでの平均バー数,31,,36,,24,
負けトレードでの平均バー数,28,,23,,32,
マージンコール,0,,0,,0,
