トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,OutBarSE,2012-04-03,930,100,0,0,0,0,1875.00,2.02,1125.00,1.21
1,ショートを決済,OutBarLE,2012-04-17,915,100,0,0,0,0,1875.00,2.02,1125.00,1.21
2,ロングエントリー,OutBarLE,2012-04-17,915,100,3100.00,3.39,3100.00,0.1,5500.00,6.01,10250.00,11.2
2,ロングを決済,OutBarSE,2012-10-10,956,100,3100.00,3.39,3100.00,0.1,5500.00,6.01,10250.00,11.2
3,ショートエントリー,OutBarSE,2012-10-10,956,100,600.00,0.63,3700.00,0.02,6100.00,6.38,3150.00,3.29
3,ショートを決済,OutBarLE,2012-11-30,940,100,600.00,0.63,3700.00,0.02,6100.00,6.38,3150.00,3.29
4,ロングエントリー,OutBarLE,2012-11-30,940,100,11900.00,12.66,15600.00,0.4,16250.00,17.29,4750.00,5.05
4,ロングを決済,OutBarSE,2013-03-13,1069,100,11900.00,12.66,15600.00,0.4,16250.00,17.29,4750.00,5.05
5,ショートエントリー,OutBarSE,2013-03-13,1069,100,500.00,0.47,16100.00,0.02,8275.00,7.74,725.00,0.68
5,ショートを決済,OutBarLE,2013-04-05,1054,100,500.00,0.47,16100.00,0.02,8275.00,7.74,725.00,0.68
6,ロングエントリー,OutBarLE,2013-04-05,1054,100,27100.00,25.71,43200.00,0.9,35350.00,33.54,2025.00,1.92
6,ロングを決済,OutBarSE,2013-05-21,1335,100,27100.00,25.71,43200.00,0.9,35350.00,33.54,2025.00,1.92
7,ショートエントリー,OutBarSE,2013-05-21,1335,100,5000.00,3.75,48200.00,0.16,11375.00,8.52,3750.00,2.81
7,ショートを決済,OutBarLE,2013-06-05,1275,100,5000.00,3.75,48200.00,0.16,11375.00,8.52,3750.00,2.81
8,ロングエントリー,OutBarLE,2013-06-05,1275,100,2300.00,1.8,50500.00,0.08,5500.00,4.31,9875.00,7.75
8,ロングを決済,OutBarSE,2013-07-09,1308,100,2300.00,1.8,50500.00,0.08,5500.00,4.31,9875.00,7.75
