,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-418600.00,-13.95,-72400.00,-2.41,-346200.00,-11.54
総利益,596900.00,19.9,382600.00,12.75,214300.00,7.14
総損失,1015500.00,33.85,455000.00,15.17,560500.00,18.68
最大ドローダウン,446900.00,14.86,,,,
バイ・アンド・ホールドでのリターン,9533106.00,317.77,,,,
シャープレシオ,-0.623,,,,,
ソルティノレシオ,-0.578,,,,,
プロフィットファクター,0.588,,0.841,,0.382,
最大保有数,100,,100,,100,
未決済の損益,17000.00,0.66,,,,
支払い済み手数料,225000.00,,113000.00,,112000.00,
終了したトレードの合計,224,,112,,112,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,68,,42,,26,
負けトレードの数,156,,70,,86,
勝率,30.36,,37.5,,23.21,
平均トレード,-1868.75,-0.06,-646.43,-0.02,-3091.07,-0.1
平均勝ちトレード,8777.94,0.29,9109.52,0.3,8242.31,0.27
平均負けトレード,6509.62,0.22,6500.00,0.22,6517.44,0.22
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.348,,1.401,,1.265,
最大勝ちトレード,42000.00,15.08,33700.00,13.48,42000.00,15.08
最大負けトレード,18500.00,9.53,18000.00,8.41,18500.00,9.53
トレードでの平均バー数,12,,13,,11,
勝ちトレードでの平均バー数,19,,19,,19,
負けトレードでの平均バー数,9,,10,,8,
マージンコール,0,,0,,0,
