トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,ParLE,2012-04-13,918,100,-3200.00,-3.49,-3200.00,-0.11,0,0,2700.00,2.94
1,ロングを決済,ParSE,2012-04-16,901,100,-3200.00,-3.49,-3200.00,-0.11,0,0,2700.00,2.94
2,ショートエントリー,ParSE,2012-04-16,901,100,-2900.00,-3.22,-6100.00,-0.1,0,0,2400.00,2.66
2,ショートを決済,ParLE,2012-04-17,920,100,-2900.00,-3.22,-6100.00,-0.1,0,0,2400.00,2.66
3,ロングエントリー,ParLE,2012-04-17,920,100,-2300.00,-2.5,-8400.00,-0.08,250.00,0.27,1800.00,1.96
3,ロングを決済,ParSE,2012-04-27,907,100,-2300.00,-2.5,-8400.00,-0.08,250.00,0.27,1800.00,1.96
4,ショートエントリー,ParSE,2012-04-27,907,100,-900.00,-0.99,-9300.00,-0.03,2700.00,2.98,1425.00,1.57
4,ショートを決済,ParLE,2012-05-15,906,100,-900.00,-0.99,-9300.00,-0.03,2700.00,2.98,1425.00,1.57
5,ロングエントリー,ParLE,2012-05-15,906,100,-4000.00,-4.42,-13300.00,-0.13,0,0,3500.00,3.86
5,ロングを決済,ParSE,2012-05-17,876,100,-4000.00,-4.42,-13300.00,-0.13,0,0,3500.00,3.86
6,ショートエントリー,ParSE,2012-05-17,876,100,2900.00,3.31,-10400.00,0.1,5350.00,6.11,1025.00,1.17
6,ショートを決済,ParLE,2012-06-13,837,100,2900.00,3.31,-10400.00,0.1,5350.00,6.11,1025.00,1.17
7,ロングエントリー,ParLE,2012-06-13,837,100,8700.00,10.39,-1700.00,0.29,11300.00,13.5,950.00,1.14
7,ロングを決済,ParSE,2012-07-10,934,100,8700.00,10.39,-1700.00,0.29,11300.00,13.5,950.00,1.14
8,ショートエントリー,ParSE,2012-07-10,934,100,1100.00,1.18,-600.00,0.04,4025.00,4.31,1100.00,1.18
8,ショートを決済,ParLE,2012-07-31,913,100,1100.00,1.18,-600.00,0.04,4025.00,4.31,1100.00,1.18
