,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-430800.00,-14.36,-86000.00,-2.87,-344800.00,-11.49
総利益,717900.00,23.93,430900.00,14.36,287000.00,9.57
総損失,1148700.00,38.29,516900.00,17.23,631800.00,21.06
最大ドローダウン,434400.00,14.48,,,,
バイ・アンド・ホールドでのリターン,9371850.00,312.4,,,,
シャープレシオ,-0.622,,,,,
ソルティノレシオ,-0.568,,,,,
プロフィットファクター,0.625,,0.834,,0.454,
最大保有数,100,,100,,100,
未決済の損益,-30800.00,-1.2,,,,
支払い済み手数料,368000.00,,184500.00,,183500.00,
終了したトレードの合計,367,,184,,183,
未決済トレードの合計,1,,0,,1,
勝ちトレードの数,133,,73,,60,
負けトレードの数,228,,109,,119,
勝率,36.24,,39.67,,32.79,
平均トレード,-1173.84,-0.04,-467.39,-0.02,-1884.15,-0.06
平均勝ちトレード,5397.74,0.18,5902.74,0.2,4783.33,0.16
平均負けトレード,5038.16,0.17,4742.20,0.16,5309.24,0.18
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.071,,1.245,,0.901,
最大勝ちトレード,30300.00,12.47,24900.00,12.47,30300.00,11.09
最大負けトレード,35100.00,13.51,35100.00,13.51,28400.00,11.86
トレードでの平均バー数,8,,7,,8,
勝ちトレードでの平均バー数,8,,8,,9,
負けトレードでの平均バー数,7,,7,,7,
マージンコール,0,,0,,0,
