トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,PivExtLE,2012-04-03,930,100,-2500.00,-2.69,-2500.00,-0.08,0,0,3875.00,4.17
1,ロングを決済,PivExtSE,2012-04-23,920,100,-2500.00,-2.69,-2500.00,-0.08,0,0,3875.00,4.17
2,ショートエントリー,PivExtSE,2012-04-23,920,100,0,0,-2500.00,0,750.00,0.82,750.00,0.82
2,ショートを決済,PivExtLE,2012-04-27,910,100,0,0,-2500.00,0,750.00,0.82,750.00,0.82
3,ロングエントリー,PivExtLE,2012-04-27,910,100,-4500.00,-4.95,-7000.00,-0.15,125.00,0.14,4000.00,4.4
3,ロングを決済,PivExtSE,2012-05-18,875,100,-4500.00,-4.95,-7000.00,-0.15,125.00,0.14,4000.00,4.4
4,ショートエントリー,PivExtSE,2012-05-18,875,100,1500.00,1.71,-5500.00,0.05,3000.00,3.43,500.00,0.57
4,ショートを決済,PivExtLE,2012-05-30,850,100,1500.00,1.71,-5500.00,0.05,3000.00,3.43,500.00,0.57
5,ロングエントリー,PivExtLE,2012-05-30,850,100,-2000.00,-2.35,-7500.00,-0.07,0,0,1500.00,1.76
5,ロングを決済,PivExtSE,2012-05-31,840,100,-2000.00,-2.35,-7500.00,-0.07,0,0,1500.00,1.76
6,ショートエントリー,PivExtSE,2012-05-31,840,100,-100.00,-0.12,-7600.00,0,1750.00,2.08,2375.00,2.83
6,ショートを決済,PivExtLE,2012-06-11,831,100,-100.00,-0.12,-7600.00,0,1750.00,2.08,2375.00,2.83
7,ロングエントリー,PivExtLE,2012-06-11,831,100,-600.00,-0.72,-8200.00,-0.02,400.00,0.48,1475.00,1.77
7,ロングを決済,PivExtSE,2012-06-14,835,100,-600.00,-0.72,-8200.00,-0.02,400.00,0.48,1475.00,1.77
8,ショートエントリー,PivExtSE,2012-06-14,835,100,-9900.00,-11.86,-18100.00,-0.33,0,0,12500.00,14.97
8,ショートを決済,PivExtLE,2012-07-19,924,100,-9900.00,-11.86,-18100.00,-0.33,0,0,12500.00,14.97
9,ロングエントリー,PivExtLE,2012-07-19,924,100,-900.00,-0.97,-19000.00,-0.03,1225.00,1.33,4025.00,4.36
9,ロングを決済,PivExtSE,2012-08-10,925,100,-900.00,-0.97,-19000.00,-0.03,1225.00,1.33,4025.00,4.36
10,ショートエントリー,PivExtSE,2012-08-10,925,100,2400.00,2.59,-16600.00,0.08,3125.00,3.38,4250.00,4.59
10,ショートを決済,PivExtLE,2012-09-11,891,100,2400.00,2.59,-16600.00,0.08,3125.00,3.38,4250.00,4.59
11,ロングエントリー,PivExtLE,2012-09-11,891,100,5300.00,5.95,-11300.00,0.18,7650.00,8.59,1100.00,1.23
11,ロングを決済,PivExtSE,2012-09-25,954,100,5300.00,5.95,-11300.00,0.18,7650.00,8.59,1100.00,1.23
12,ショートエントリー,PivExtSE,2012-09-25,954,100,-1600.00,-1.68,-12900.00,-0.05,3025.00,3.17,2100.00,2.2
12,ショートを決済,PivExtLE,2012-10-04,960,100,-1600.00,-1.68,-12900.00,-0.05,3025.00,3.17,2100.00,2.2
13,ロングエントリー,PivExtLE,2012-10-04,960,100,-2500.00,-2.6,-15400.00,-0.08,1000.00,1.04,2500.00,2.6
13,ロングを決済,PivExtSE,2012-10-12,945,100,-2500.00,-2.6,-15400.00,-0.08,1000.00,1.04,2500.00,2.6
14,ショートエントリー,PivExtSE,2012-10-12,945,100,-1800.00,-1.9,-17200.00,-0.06,0,0,1500.00,1.59
14,ショートを決済,PivExtLE,2012-10-15,953,100,-1800.00,-1.9,-17200.00,-0.06,0,0,1500.00,1.59
15,ロングエントリー,PivExtLE,2012-10-15,953,100,-1500.00,-1.57,-18700.00,-0.05,2450.00,2.57,2800.00,2.94
15,ロングを決済,PivExtSE,2012-10-24,948,100,-1500.00,-1.57,-18700.00,-0.05,2450.00,2.57,2800.00,2.94
16,ショートエントリー,PivExtSE,2012-10-24,948,100,2800.00,2.95,-15900.00,0.09,5300.00,5.59,700.00,0.74
16,ショートを決済,PivExtLE,2012-11-02,910,100,2800.00,2.95,-15900.00,0.09,5300.00,5.59,700.00,0.74
17,ロングエントリー,PivExtLE,2012-11-02,910,100,-700.00,-0.77,-16600.00,-0.02,2375.00,2.61,2375.00,2.61
17,ロングを決済,PivExtSE,2012-11-14,913,100,-700.00,-0.77,-16600.00,-0.02,2375.00,2.61,2375.00,2.61
18,ショートエントリー,PivExtSE,2012-11-14,913,100,-3500.00,-3.83,-20100.00,-0.12,675.00,0.74,3000.00,3.29
18,ショートを決済,PivExtLE,2012-11-21,938,100,-3500.00,-3.83,-20100.00,-0.12,675.00,0.74,3000.00,3.29
19,ロングエントリー,PivExtLE,2012-11-21,938,100,-2500.00,-2.67,-22600.00,-0.08,0,0,2800.00,2.99
19,ロングを決済,PivExtSE,2012-11-27,923,100,-2500.00,-2.67,-22600.00,-0.08,0,0,2800.00,2.99
20,ショートエントリー,PivExtSE,2012-11-27,923,100,-600.00,-0.65,-23200.00,-0.02,1675.00,1.81,2825.00,3.06
20,ショートを決済,PivExtLE,2012-12-12,919,100,-600.00,-0.65,-23200.00,-0.02,1675.00,1.81,2825.00,3.06
21,ロングエントリー,PivExtLE,2012-12-12,919,100,-2300.00,-2.5,-25500.00,-0.08,100.00,0.11,2525.00,2.75
21,ロングを決済,PivExtSE,2012-12-17,906,100,-2300.00,-2.5,-25500.00,-0.08,100.00,0.11,2525.00,2.75
22,ショートエントリー,PivExtSE,2012-12-17,906,100,-1800.00,-1.99,-27300.00,-0.06,350.00,0.39,1400.00,1.55
22,ショートを決済,PivExtLE,2012-12-21,914,100,-1800.00,-1.99,-27300.00,-0.06,350.00,0.39,1400.00,1.55
23,ロングエントリー,PivExtLE,2012-12-21,914,100,-1800.00,-1.97,-29100.00,-0.06,0,0,1525.00,1.67
23,ロングを決済,PivExtSE,2012-12-26,906,100,-1800.00,-1.97,-29100.00,-0.06,0,0,1525.00,1.67
24,ショートエントリー,PivExtSE,2012-12-26,906,100,-2800.00,-3.09,-31900.00,-0.09,100.00,0.11,2300.00,2.54
24,ショートを決済,PivExtLE,2013-01-04,924,100,-2800.00,-3.09,-31900.00,-0.09,100.00,0.11,2300.00,2.54
25,ロングエントリー,PivExtLE,2013-01-04,924,100,-1300.00,-1.41,-33200.00,-0.04,475.00,0.51,1275.00,1.38
25,ロングを決済,PivExtSE,2013-01-10,921,100,-1300.00,-1.41,-33200.00,-0.04,475.00,0.51,1275.00,1.38
26,ショートエントリー,PivExtSE,2013-01-10,921,100,-1900.00,-2.06,-35100.00,-0.06,0,0,3775.00,4.1
26,ショートを決済,PivExtLE,2013-01-29,930,100,-1900.00,-2.06,-35100.00,-0.06,0,0,3775.00,4.1
27,ロングエントリー,PivExtLE,2013-01-29,930,100,4300.00,4.62,-30800.00,0.15,5375.00,5.78,500.00,0.54
27,ロングを決済,PivExtSE,2013-02-07,983,100,4300.00,4.62,-30800.00,0.15,5375.00,5.78,500.00,0.54
28,ショートエントリー,PivExtSE,2013-02-07,983,100,-10600.00,-10.78,-41400.00,-0.36,0,0,12950.00,13.17
28,ショートを決済,PivExtLE,2013-03-06,1079,100,-10600.00,-10.78,-41400.00,-0.36,0,0,12950.00,13.17
