,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-78600.00,-2.62,82100.00,2.74,-160700.00,-5.36
総利益,430900.00,14.36,300600.00,10.02,130300.00,4.34
総損失,509500.00,16.98,218500.00,7.28,291000.00,9.7
最大ドローダウン,174000.00,5.71,,,,
バイ・アンド・ホールドでのリターン,9440373.00,314.68,,,,
シャープレシオ,-0.434,,,,,
ソルティノレシオ,-0.493,,,,,
プロフィットファクター,0.846,,1.376,,0.448,
最大保有数,100,,100,,100,
未決済の損益,49300.00,1.69,,,,
支払い済み手数料,108000.00,,53500.00,,54500.00,
終了したトレードの合計,107,,53,,54,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,33,,22,,11,
負けトレードの数,74,,31,,43,
勝率,30.84,,41.51,,20.37,
平均トレード,-734.58,-0.02,1549.06,0.05,-2975.93,-0.1
平均勝ちトレード,13057.58,0.44,13663.64,0.46,11845.45,0.39
平均負けトレード,6885.14,0.23,7048.39,0.23,6767.44,0.23
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.896,,1.939,,1.75,
最大勝ちトレード,52700.00,33.12,52700.00,33.12,31000.00,12.06
最大負けトレード,22100.00,9.81,20500.00,8.58,22100.00,9.81
トレードでの平均バー数,24,,27,,20,
勝ちトレードでの平均バー数,41,,44,,35,
負けトレードでの平均バー数,16,,16,,16,
マージンコール,0,,0,,0,
