トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,PivRevSE,2012-04-03,925,100,6900.00,7.46,6900.00,0.23,9750.00,10.54,1500.00,1.62
1,ショートを決済,PivRevLE,2012-06-15,841,100,6900.00,7.46,6900.00,0.23,9750.00,10.54,1500.00,1.62
2,ロングエントリー,PivRevLE,2012-06-15,841,100,6600.00,7.85,13500.00,0.22,10900.00,12.96,350.00,0.42
2,ロングを決済,PivRevSE,2012-07-20,917,100,6600.00,7.85,13500.00,0.22,10900.00,12.96,350.00,0.42
3,ショートエントリー,PivRevSE,2012-07-20,917,100,-3600.00,-3.93,9900.00,-0.12,2325.00,2.54,3100.00,3.38
3,ショートを決済,PivRevLE,2012-08-14,943,100,-3600.00,-3.93,9900.00,-0.12,2325.00,2.54,3100.00,3.38
4,ロングエントリー,PivRevLE,2012-08-14,943,100,-6600.00,-7,3300.00,-0.22,1450.00,1.54,6100.00,6.47
4,ロングを決済,PivRevSE,2012-09-13,887,100,-6600.00,-7,3300.00,-0.22,1450.00,1.54,6100.00,6.47
5,ショートエントリー,PivRevSE,2012-09-13,887,100,-8700.00,-9.81,-5400.00,-0.29,0,0,8200.00,9.24
5,ショートを決済,PivRevLE,2012-09-20,964,100,-8700.00,-9.81,-5400.00,-0.29,0,0,8200.00,9.24
6,ロングエントリー,PivRevLE,2012-09-20,964,100,-3500.00,-3.63,-8900.00,-0.12,600.00,0.62,5025.00,5.21
6,ロングを決済,PivRevSE,2012-10-15,939,100,-3500.00,-3.63,-8900.00,-0.12,600.00,0.62,5025.00,5.21
7,ショートエントリー,PivRevSE,2012-10-15,939,100,-4700.00,-5.01,-13600.00,-0.16,400.00,0.43,4200.00,4.47
7,ショートを決済,PivRevLE,2012-10-19,976,100,-4700.00,-5.01,-13600.00,-0.16,400.00,0.43,4200.00,4.47
8,ロングエントリー,PivRevLE,2012-10-19,976,100,-5700.00,-5.84,-19300.00,-0.19,150.00,0.15,5200.00,5.33
8,ロングを決済,PivRevSE,2012-10-26,929,100,-5700.00,-5.84,-19300.00,-0.19,150.00,0.15,5200.00,5.33
9,ショートエントリー,PivRevSE,2012-10-26,929,100,-2100.00,-2.26,-21400.00,-0.07,3400.00,3.66,1600.00,1.72
9,ショートを決済,PivRevLE,2012-11-21,940,100,-2100.00,-2.26,-21400.00,-0.07,3400.00,3.66,1600.00,1.72
10,ロングエントリー,PivRevLE,2012-11-21,940,100,-5000.00,-5.32,-26400.00,-0.17,125.00,0.13,4500.00,4.79
10,ロングを決済,PivRevSE,2012-12-14,900,100,-5000.00,-5.32,-26400.00,-0.17,125.00,0.13,4500.00,4.79
11,ショートエントリー,PivRevSE,2012-12-14,900,100,-3400.00,-3.78,-29800.00,-0.11,0,0,2900.00,3.22
11,ショートを決済,PivRevLE,2013-01-04,924,100,-3400.00,-3.78,-29800.00,-0.11,0,0,2900.00,3.22
12,ロングエントリー,PivRevLE,2013-01-04,924,100,12200.00,13.2,-17600.00,0.41,17850.00,19.32,1275.00,1.38
12,ロングを決済,PivRevSE,2013-03-13,1056,100,12200.00,13.2,-17600.00,0.41,17850.00,19.32,1275.00,1.38
13,ショートエントリー,PivRevSE,2013-03-13,1056,100,-2300.00,-2.18,-19900.00,-0.08,6975.00,6.61,1800.00,1.7
13,ショートを決済,PivRevLE,2013-04-08,1069,100,-2300.00,-2.18,-19900.00,-0.08,6975.00,6.61,1800.00,1.7
14,ロングエントリー,PivRevLE,2013-04-08,1069,100,16800.00,15.72,-3100.00,0.56,33850.00,31.67,0,0
14,ロングを決済,PivRevSE,2013-05-30,1247,100,16800.00,15.72,-3100.00,0.56,33850.00,31.67,0,0
15,ショートエントリー,PivRevSE,2013-05-30,1247,100,-6300.00,-5.05,-9400.00,-0.21,6075.00,4.87,7800.00,6.26
15,ショートを決済,PivRevLE,2013-07-02,1300,100,-6300.00,-5.05,-9400.00,-0.21,6075.00,4.87,7800.00,6.26
16,ロングエントリー,PivRevLE,2013-07-02,1300,100,-4600.00,-3.54,-14000.00,-0.15,4000.00,3.08,4100.00,3.15
16,ロングを決済,PivRevSE,2013-07-26,1264,100,-4600.00,-3.54,-14000.00,-0.15,4000.00,3.08,4100.00,3.15
17,ショートエントリー,PivRevSE,2013-07-26,1264,100,-3500.00,-2.77,-17500.00,-0.12,3150.00,2.49,6600.00,5.22
17,ショートを決済,PivRevLE,2013-09-05,1289,100,-3500.00,-2.77,-17500.00,-0.12,3150.00,2.49,6600.00,5.22
18,ロングエントリー,PivRevLE,2013-09-05,1289,100,-2500.00,-1.94,-20000.00,-0.08,6350.00,4.93,2000.00,1.55
18,ロングを決済,PivRevSE,2013-09-30,1274,100,-2500.00,-1.94,-20000.00,-0.08,6350.00,4.93,2000.00,1.55
19,ショートエントリー,PivRevSE,2013-09-30,1274,100,-3200.00,-2.51,-23200.00,-0.11,2525.00,1.98,2700.00,2.12
19,ショートを決済,PivRevLE,2013-10-10,1296,100,-3200.00,-2.51,-23200.00,-0.11,2525.00,1.98,2700.00,2.12
20,ロングエントリー,PivRevLE,2013-10-10,1296,100,-1000.00,-0.77,-24200.00,-0.03,4150.00,3.2,500.00,0.39
20,ロングを決済,PivRevSE,2013-10-24,1296,100,-1000.00,-0.77,-24200.00,-0.03,4150.00,3.2,500.00,0.39
21,ショートエントリー,PivRevSE,2013-10-24,1296,100,-1500.00,-1.16,-25700.00,-0.05,4225.00,3.26,4150.00,3.2
21,ショートを決済,PivRevLE,2013-12-09,1301,100,-1500.00,-1.16,-25700.00,-0.05,4225.00,3.26,4150.00,3.2
22,ロングエントリー,PivRevLE,2013-12-09,1301,100,8300.00,6.38,-17400.00,0.28,19625.00,15.08,2400.00,1.84
22,ロングを決済,PivRevSE,2014-03-24,1394,100,8300.00,6.38,-17400.00,0.28,19625.00,15.08,2400.00,1.84
23,ショートエントリー,PivRevSE,2014-03-24,1394,100,2600.00,1.87,-14800.00,0.09,12625.00,9.06,3825.00,2.74
23,ショートを決済,PivRevLE,2014-04-23,1358,100,2600.00,1.87,-14800.00,0.09,12625.00,9.06,3825.00,2.74
24,ロングエントリー,PivRevLE,2014-04-23,1358,100,29800.00,21.94,15000.00,1,38025.00,28,3050.00,2.25
24,ロングを決済,PivRevSE,2014-08-06,1666,100,29800.00,21.94,15000.00,1,38025.00,28,3050.00,2.25
25,ショートエントリー,PivRevSE,2014-08-06,1666,100,-8800.00,-5.28,6200.00,-0.29,1950.00,1.17,8300.00,4.98
25,ショートを決済,PivRevLE,2014-08-27,1744,100,-8800.00,-5.28,6200.00,-0.29,1950.00,1.17,8300.00,4.98
26,ロングエントリー,PivRevLE,2014-08-27,1744,100,-3700.00,-2.12,2500.00,-0.12,1250.00,0.72,3200.00,1.83
26,ロングを決済,PivRevSE,2014-09-04,1717,100,-3700.00,-2.12,2500.00,-0.12,1250.00,0.72,3200.00,1.83
27,ショートエントリー,PivRevSE,2014-09-04,1717,100,-5600.00,-3.26,-3100.00,-0.19,225.00,0.13,5100.00,2.97
27,ショートを決済,PivRevLE,2014-09-10,1763,100,-5600.00,-3.26,-3100.00,-0.19,225.00,0.13,5100.00,2.97
28,ロングエントリー,PivRevLE,2014-09-10,1763,100,-6500.00,-3.69,-9600.00,-0.22,1200.00,0.68,6000.00,3.4
28,ロングを決済,PivRevSE,2014-09-22,1708,100,-6500.00,-3.69,-9600.00,-0.22,1200.00,0.68,6000.00,3.4
29,ショートエントリー,PivRevSE,2014-09-22,1708,100,6900.00,4.04,-2700.00,0.23,20225.00,11.84,2075.00,1.21
29,ショートを決済,PivRevLE,2014-10-31,1629,100,6900.00,4.04,-2700.00,0.23,20225.00,11.84,2075.00,1.21
30,ロングエントリー,PivRevLE,2014-10-31,1629,100,-4500.00,-2.76,-7200.00,-0.15,14600.00,8.96,4000.00,2.46
30,ロングを決済,PivRevSE,2014-11-21,1594,100,-4500.00,-2.76,-7200.00,-0.15,14600.00,8.96,4000.00,2.46
31,ショートエントリー,PivRevSE,2014-11-21,1594,100,-700.00,-0.44,-7900.00,-0.02,8350.00,5.24,3050.00,1.91
31,ショートを決済,PivRevLE,2015-01-09,1591,100,-700.00,-0.44,-7900.00,-0.02,8350.00,5.24,3050.00,1.91
32,ロングエントリー,PivRevLE,2015-01-09,1591,100,52700.00,33.12,44800.00,1.76,69075.00,43.42,3900.00,2.45
32,ロングを決済,PivRevSE,2015-07-09,2128,100,52700.00,33.12,44800.00,1.76,69075.00,43.42,3900.00,2.45
33,ショートエントリー,PivRevSE,2015-07-09,2128,100,-14300.00,-6.72,30500.00,-0.47,2125.00,1,13800.00,6.48
33,ショートを決済,PivRevLE,2015-07-10,2261,100,-14300.00,-6.72,30500.00,-0.47,2125.00,1,13800.00,6.48
34,ロングエントリー,PivRevLE,2015-07-10,2261,100,10400.00,4.6,40900.00,0.34,26700.00,11.81,6325.00,2.8
34,ロングを決済,PivRevSE,2015-08-21,2375,100,10400.00,4.6,40900.00,0.34,26700.00,11.81,6325.00,2.8
35,ショートエントリー,PivRevSE,2015-08-21,2375,100,-2300.00,-0.97,38600.00,-0.08,24425.00,10.28,1800.00,0.76
35,ショートを決済,PivRevLE,2015-09-09,2388,100,-2300.00,-0.97,38600.00,-0.08,24425.00,10.28,1800.00,0.76
36,ロングエントリー,PivRevLE,2015-09-09,2388,100,-20500.00,-8.58,18100.00,-0.67,425.00,0.18,20000.00,8.38
36,ロングを決済,PivRevSE,2015-09-14,2193,100,-20500.00,-8.58,18100.00,-0.67,425.00,0.18,20000.00,8.38
37,ショートエントリー,PivRevSE,2015-09-14,2193,100,-300.00,-0.14,17800.00,-0.01,18550.00,8.46,4150.00,1.89
37,ショートを決済,PivRevLE,2015-10-20,2186,100,-300.00,-0.14,17800.00,-0.01,18550.00,8.46,4150.00,1.89
38,ロングエントリー,PivRevLE,2015-10-20,2186,100,10800.00,4.94,28600.00,0.36,24900.00,11.39,0,0
38,ロングを決済,PivRevSE,2015-11-30,2304,100,10800.00,4.94,28600.00,0.36,24900.00,11.39,0,0
39,ショートエントリー,PivRevSE,2015-11-30,2304,100,-9100.00,-3.95,19500.00,-0.3,5300.00,2.3,8600.00,3.73
39,ショートを決済,PivRevLE,2015-12-16,2385,100,-9100.00,-3.95,19500.00,-0.3,5300.00,2.3,8600.00,3.73
40,ロングエントリー,PivRevLE,2015-12-16,2385,100,-6000.00,-2.52,13500.00,-0.2,10150.00,4.26,5500.00,2.31
40,ロングを決済,PivRevSE,2016-01-13,2335,100,-6000.00,-2.52,13500.00,-0.2,10150.00,4.26,5500.00,2.31
41,ショートエントリー,PivRevSE,2016-01-13,2335,100,-11400.00,-4.88,2100.00,-0.38,11900.00,5.1,10900.00,4.67
41,ショートを決済,PivRevLE,2016-01-28,2439,100,-11400.00,-4.88,2100.00,-0.38,11900.00,5.1,10900.00,4.67
42,ロングエントリー,PivRevLE,2016-01-28,2439,100,-16000.00,-6.56,-13900.00,-0.53,26550.00,10.89,15500.00,6.36
42,ロングを決済,PivRevSE,2016-02-24,2289,100,-16000.00,-6.56,-13900.00,-0.53,26550.00,10.89,15500.00,6.36
43,ショートエントリー,PivRevSE,2016-02-24,2289,100,-18800.00,-8.21,-32700.00,-0.63,2100.00,0.92,19000.00,8.3
43,ショートを決済,PivRevLE,2016-03-16,2467,100,-18800.00,-8.21,-32700.00,-0.63,2100.00,0.92,19000.00,8.3
44,ロングエントリー,PivRevLE,2016-03-16,2467,100,-7700.00,-3.12,-40400.00,-0.26,6550.00,2.66,7200.00,2.92
44,ロングを決済,PivRevSE,2016-04-01,2400,100,-7700.00,-3.12,-40400.00,-0.26,6550.00,2.66,7200.00,2.92
45,ショートエントリー,PivRevSE,2016-04-01,2400,100,-13900.00,-5.79,-54300.00,-0.47,11250.00,4.69,13400.00,5.58
45,ショートを決済,PivRevLE,2016-04-22,2529,100,-13900.00,-5.79,-54300.00,-0.47,11250.00,4.69,13400.00,5.58
46,ロングエントリー,PivRevLE,2016-04-22,2529,100,-14200.00,-5.61,-68500.00,-0.48,5600.00,2.21,13700.00,5.42
46,ロングを決済,PivRevSE,2016-05-18,2397,100,-14200.00,-5.61,-68500.00,-0.48,5600.00,2.21,13700.00,5.42
47,ショートエントリー,PivRevSE,2016-05-18,2397,100,-2000.00,-0.83,-70500.00,-0.07,22700.00,9.47,8950.00,3.73
47,ショートを決済,PivRevLE,2016-06-28,2407,100,-2000.00,-0.83,-70500.00,-0.07,22700.00,9.47,8950.00,3.73
48,ロングエントリー,PivRevLE,2016-06-28,2407,100,-1800.00,-0.75,-72300.00,-0.06,14450.00,6,2600.00,1.08
48,ロングを決済,PivRevSE,2016-08-05,2399,100,-1800.00,-0.75,-72300.00,-0.06,14450.00,6,2600.00,1.08
49,ショートエントリー,PivRevSE,2016-08-05,2399,100,1600.00,0.67,-70700.00,0.05,13300.00,5.54,5700.00,2.38
49,ショートを決済,PivRevLE,2016-09-06,2373,100,1600.00,0.67,-70700.00,0.05,13300.00,5.54,5700.00,2.38
50,ロングエントリー,PivRevLE,2016-09-06,2373,100,-12300.00,-5.18,-83000.00,-0.42,550.00,0.23,11800.00,4.97
50,ロングを決済,PivRevSE,2016-09-15,2260,100,-12300.00,-5.18,-83000.00,-0.42,550.00,0.23,11800.00,4.97
51,ショートエントリー,PivRevSE,2016-09-15,2260,100,-13500.00,-5.97,-96500.00,-0.46,450.00,0.2,13000.00,5.75
51,ショートを決済,PivRevLE,2016-09-23,2385,100,-13500.00,-5.97,-96500.00,-0.46,450.00,0.2,13000.00,5.75
52,ロングエントリー,PivRevLE,2016-09-23,2385,100,-8900.00,-3.73,-105400.00,-0.31,1000.00,0.42,8400.00,3.52
52,ロングを決済,PivRevSE,2016-10-07,2306,100,-8900.00,-3.73,-105400.00,-0.31,1000.00,0.42,8400.00,3.52
53,ショートエントリー,PivRevSE,2016-10-07,2306,100,-4400.00,-1.91,-109800.00,-0.15,22300.00,9.67,8450.00,3.66
53,ショートを決済,PivRevLE,2016-12-12,2340,100,-4400.00,-1.91,-109800.00,-0.15,22300.00,9.67,8450.00,3.66
54,ロングエントリー,PivRevLE,2016-12-12,2340,100,11300.00,4.83,-98500.00,0.39,22250.00,9.51,0,0
54,ロングを決済,PivRevSE,2017-01-30,2463,100,11300.00,4.83,-98500.00,0.39,22250.00,9.51,0,0
55,ショートエントリー,PivRevSE,2017-01-30,2463,100,1600.00,0.65,-96900.00,0.06,11550.00,4.69,4950.00,2.01
55,ショートを決済,PivRevLE,2017-03-07,2437,100,1600.00,0.65,-96900.00,0.06,11550.00,4.69,4950.00,2.01
56,ロングエントリー,PivRevLE,2017-03-07,2437,100,-800.00,-0.33,-97700.00,-0.03,6450.00,2.65,2650.00,1.09
56,ロングを決済,PivRevSE,2017-03-30,2439,100,-800.00,-0.33,-97700.00,-0.03,6450.00,2.65,2650.00,1.09
57,ショートエントリー,PivRevSE,2017-03-30,2439,100,-4400.00,-1.8,-102100.00,-0.15,9800.00,4.02,3900.00,1.6
57,ショートを決済,PivRevLE,2017-05-08,2473,100,-4400.00,-1.8,-102100.00,-0.15,9800.00,4.02,3900.00,1.6
58,ロングエントリー,PivRevLE,2017-05-08,2473,100,12900.00,5.22,-89200.00,0.45,27200.00,11,950.00,0.38
58,ロングを決済,PivRevSE,2017-07-10,2612,100,12900.00,5.22,-89200.00,0.45,27200.00,11,950.00,0.38
59,ショートエントリー,PivRevSE,2017-07-10,2612,100,-9800.00,-3.75,-99000.00,-0.34,1550.00,0.59,9300.00,3.56
59,ショートを決済,PivRevLE,2017-07-19,2700,100,-9800.00,-3.75,-99000.00,-0.34,1550.00,0.59,9300.00,3.56
60,ロングエントリー,PivRevLE,2017-07-19,2700,100,-6100.00,-2.26,-105100.00,-0.21,3950.00,1.46,5600.00,2.07
60,ロングを決済,PivRevSE,2017-08-14,2649,100,-6100.00,-2.26,-105100.00,-0.21,3950.00,1.46,5600.00,2.07
61,ショートエントリー,PivRevSE,2017-08-14,2649,100,-6500.00,-2.45,-111600.00,-0.22,3650.00,1.38,6000.00,2.27
61,ショートを決済,PivRevLE,2017-08-30,2704,100,-6500.00,-2.45,-111600.00,-0.22,3650.00,1.38,6000.00,2.27
62,ロングエントリー,PivRevLE,2017-08-30,2704,100,-11400.00,-4.22,-123000.00,-0.39,3350.00,1.24,10900.00,4.03
