,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-311000.00,-10.37,-39100.00,-1.3,-271900.00,-9.06
総利益,261900.00,8.73,213900.00,7.13,48000.00,1.6
総損失,572900.00,19.1,253000.00,8.43,319900.00,10.66
最大ドローダウン,333100.00,11.08,,,,
バイ・アンド・ホールドでのリターン,9425490.00,314.18,,,,
シャープレシオ,-0.577,,,,,
ソルティノレシオ,-0.588,,,,,
プロフィットファクター,0.457,,0.845,,0.15,
最大保有数,100,,100,,100,
未決済の損益,59200.00,2.2,,,,
支払い済み手数料,84000.00,,41500.00,,42500.00,
終了したトレードの合計,83,,41,,42,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,24,,16,,8,
負けトレードの数,59,,25,,34,
勝率,28.92,,39.02,,19.05,
平均トレード,-3746.99,-0.12,-953.66,-0.03,-6473.81,-0.22
平均勝ちトレード,10912.50,0.36,13368.75,0.45,6000.00,0.2
平均負けトレード,9710.17,0.32,10120.00,0.34,9408.82,0.31
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.124,,1.321,,0.638,
最大勝ちトレード,50300.00,31.15,50300.00,31.15,29000.00,10.23
最大負けトレード,25300.00,10.9,25300.00,9.37,25000.00,10.9
トレードでの平均バー数,30,,35,,24,
勝ちトレードでの平均バー数,51,,55,,42,
負けトレードでの平均バー数,21,,23,,20,
マージンコール,0,,0,,0,
