トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,PChSE,2012-04-03,926,100,4700.00,5.08,4700.00,0.16,9850.00,10.64,1400.00,1.51
1,ショートを決済,PChLE,2012-06-20,864,100,4700.00,5.08,4700.00,0.16,9850.00,10.64,1400.00,1.51
2,ロングエントリー,PChLE,2012-06-20,864,100,1600.00,1.85,6300.00,0.05,8600.00,9.95,0,0
2,ロングを決済,PChSE,2012-07-26,890,100,1600.00,1.85,6300.00,0.05,8600.00,9.95,0,0
3,ショートエントリー,PChSE,2012-07-26,890,100,-6200.00,-6.97,100.00,-0.21,0,0,5700.00,6.4
3,ショートを決済,PChLE,2012-08-14,942,100,-6200.00,-6.97,100.00,-0.21,0,0,5700.00,6.4
4,ロングエントリー,PChLE,2012-08-14,942,100,-4700.00,-4.99,-4600.00,-0.16,1550.00,1.65,4200.00,4.46
4,ロングを決済,PChSE,2012-08-31,905,100,-4700.00,-4.99,-4600.00,-0.16,1550.00,1.65,4200.00,4.46
5,ショートエントリー,PChSE,2012-08-31,905,100,-5800.00,-6.41,-10400.00,-0.19,1500.00,1.66,5300.00,5.86
5,ショートを決済,PChLE,2012-09-20,953,100,-5800.00,-6.41,-10400.00,-0.19,1500.00,1.66,5300.00,5.86
6,ロングエントリー,PChLE,2012-09-20,953,100,-4500.00,-4.72,-14900.00,-0.15,2450.00,2.57,4000.00,4.2
6,ロングを決済,PChSE,2012-10-29,918,100,-4500.00,-4.72,-14900.00,-0.15,2450.00,2.57,4000.00,4.2
7,ショートエントリー,PChSE,2012-10-29,918,100,-3200.00,-3.49,-18100.00,-0.11,2300.00,2.51,2700.00,2.94
7,ショートを決済,PChLE,2012-11-28,940,100,-3200.00,-3.49,-18100.00,-0.11,2300.00,2.51,2700.00,2.94
8,ロングエントリー,PChLE,2012-11-28,940,100,-5000.00,-5.32,-23100.00,-0.17,125.00,0.13,4500.00,4.79
8,ロングを決済,PChSE,2012-12-14,900,100,-5000.00,-5.32,-23100.00,-0.17,125.00,0.13,4500.00,4.79
9,ショートエントリー,PChSE,2012-12-14,900,100,-4300.00,-4.78,-27400.00,-0.14,0,0,3800.00,4.22
9,ショートを決済,PChLE,2013-01-07,933,100,-4300.00,-4.78,-27400.00,-0.14,0,0,3800.00,4.22
10,ロングエントリー,PChLE,2013-01-07,933,100,8800.00,9.43,-18600.00,0.3,16950.00,18.17,1925.00,2.06
10,ロングを決済,PChSE,2013-03-27,1031,100,8800.00,9.43,-18600.00,0.3,16950.00,18.17,1925.00,2.06
11,ショートエントリー,PChSE,2013-03-27,1031,100,-7700.00,-7.47,-26300.00,-0.26,4475.00,4.34,7200.00,6.98
11,ショートを決済,PChLE,2013-04-09,1098,100,-7700.00,-7.47,-26300.00,-0.26,4475.00,4.34,7200.00,6.98
12,ロングエントリー,PChLE,2013-04-09,1098,100,10800.00,9.84,-15500.00,0.36,30950.00,28.19,2300.00,2.09
12,ロングを決済,PChSE,2013-06-07,1216,100,10800.00,9.84,-15500.00,0.36,30950.00,28.19,2300.00,2.09
13,ショートエントリー,PChSE,2013-06-07,1216,100,-9700.00,-7.98,-25200.00,-0.33,2975.00,2.45,9200.00,7.57
13,ショートを決済,PChLE,2013-07-04,1303,100,-9700.00,-7.98,-25200.00,-0.33,2975.00,2.45,9200.00,7.57
14,ロングエントリー,PChLE,2013-07-04,1303,100,-6500.00,-4.99,-31700.00,-0.22,3700.00,2.84,6000.00,4.6
14,ロングを決済,PChSE,2013-07-29,1248,100,-6500.00,-4.99,-31700.00,-0.22,3700.00,2.84,6000.00,4.6
15,ショートエントリー,PChSE,2013-07-29,1248,100,-8700.00,-6.97,-40400.00,-0.29,1550.00,1.24,8200.00,6.57
15,ショートを決済,PChLE,2013-09-09,1325,100,-8700.00,-6.97,-40400.00,-0.29,1550.00,1.24,8200.00,6.57
16,ロングエントリー,PChLE,2013-09-09,1325,100,-7000.00,-5.28,-47400.00,-0.24,2750.00,2.08,6500.00,4.91
16,ロングを決済,PChSE,2013-10-03,1265,100,-7000.00,-5.28,-47400.00,-0.24,2750.00,2.08,6500.00,4.91
17,ショートエントリー,PChSE,2013-10-03,1265,100,-8300.00,-6.56,-55700.00,-0.28,1625.00,1.28,7800.00,6.17
17,ショートを決済,PChLE,2013-10-15,1338,100,-8300.00,-6.56,-55700.00,-0.28,1625.00,1.28,7800.00,6.17
18,ロングエントリー,PChLE,2013-10-15,1338,100,200.00,0.15,-55500.00,0.01,13400.00,10.01,9425.00,7.04
18,ロングを決済,PChSE,2014-01-30,1350,100,200.00,0.15,-55500.00,0.01,13400.00,10.01,9425.00,7.04
19,ショートエントリー,PChSE,2014-01-30,1350,100,-10800.00,-8,-66300.00,-0.37,6300.00,4.67,10300.00,7.63
19,ショートを決済,PChLE,2014-02-24,1448,100,-10800.00,-8,-66300.00,-0.37,6300.00,4.67,10300.00,7.63
20,ロングエントリー,PChLE,2014-02-24,1448,100,-8200.00,-5.66,-74500.00,-0.28,4925.00,3.4,7700.00,5.32
20,ロングを決済,PChSE,2014-03-24,1376,100,-8200.00,-5.66,-74500.00,-0.28,4925.00,3.4,7700.00,5.32
21,ショートエントリー,PChSE,2014-03-24,1376,100,-6800.00,-4.94,-81300.00,-0.23,10825.00,7.87,6300.00,4.58
21,ショートを決済,PChLE,2014-05-01,1434,100,-6800.00,-4.94,-81300.00,-0.23,10825.00,7.87,6300.00,4.58
22,ロングエントリー,PChLE,2014-05-01,1434,100,26500.00,18.48,-54800.00,0.91,34100.00,23.78,3900.00,2.72
22,ロングを決済,PChSE,2014-09-19,1709,100,26500.00,18.48,-54800.00,0.91,34100.00,23.78,3900.00,2.72
23,ショートエントリー,PChSE,2014-09-19,1709,100,1100.00,0.64,-53700.00,0.04,20325.00,11.89,2025.00,1.18
23,ショートを決済,PChLE,2014-10-31,1688,100,1100.00,0.64,-53700.00,0.04,20325.00,11.89,2025.00,1.18
24,ロングエントリー,PChLE,2014-10-31,1688,100,-11300.00,-6.69,-65000.00,-0.38,8700.00,5.15,10800.00,6.4
24,ロングを決済,PChSE,2014-11-28,1585,100,-11300.00,-6.69,-65000.00,-0.38,8700.00,5.15,10800.00,6.4
25,ショートエントリー,PChSE,2014-11-28,1585,100,-4000.00,-2.52,-69000.00,-0.14,7450.00,4.7,3500.00,2.21
25,ショートを決済,PChLE,2015-01-14,1615,100,-4000.00,-2.52,-69000.00,-0.14,7450.00,4.7,3500.00,2.21
26,ロングエントリー,PChLE,2015-01-14,1615,100,50300.00,31.15,-18700.00,1.72,66675.00,41.28,3050.00,1.89
26,ロングを決済,PChSE,2015-07-09,2128,100,50300.00,31.15,-18700.00,1.72,66675.00,41.28,3050.00,1.89
27,ショートエントリー,PChSE,2015-07-09,2128,100,-16900.00,-7.94,-35600.00,-0.57,2125.00,1,16400.00,7.71
27,ショートを決済,PChLE,2015-07-16,2287,100,-16900.00,-7.94,-35600.00,-0.57,2125.00,1,16400.00,7.71
28,ロングエントリー,PChLE,2015-07-16,2287,100,-1700.00,-0.74,-37300.00,-0.06,24100.00,10.54,3825.00,1.67
28,ロングを決済,PChSE,2015-08-24,2280,100,-1700.00,-0.74,-37300.00,-0.06,24100.00,10.54,3825.00,1.67
29,ショートエントリー,PChSE,2015-08-24,2280,100,4000.00,1.75,-33300.00,0.14,27250.00,11.95,12225.00,5.36
29,ショートを決済,PChLE,2015-10-20,2230,100,4000.00,1.75,-33300.00,0.14,27250.00,11.95,12225.00,5.36
30,ロングエントリー,PChLE,2015-10-20,2230,100,4000.00,1.79,-29300.00,0.13,20500.00,9.19,3150.00,1.41
30,ロングを決済,PChSE,2015-12-11,2280,100,4000.00,1.79,-29300.00,0.13,20500.00,9.19,3150.00,1.41
31,ショートエントリー,PChSE,2015-12-11,2280,100,-13000.00,-5.7,-42300.00,-0.44,2900.00,1.27,12500.00,5.48
31,ショートを決済,PChLE,2015-12-16,2400,100,-13000.00,-5.7,-42300.00,-0.44,2900.00,1.27,12500.00,5.48
32,ロングエントリー,PChLE,2015-12-16,2400,100,-9200.00,-3.83,-51500.00,-0.31,8650.00,3.6,8700.00,3.62
32,ロングを決済,PChSE,2016-01-20,2318,100,-9200.00,-3.83,-51500.00,-0.31,8650.00,3.6,8700.00,3.62
33,ショートエントリー,PChSE,2016-01-20,2318,100,-15200.00,-6.56,-66700.00,-0.52,10200.00,4.4,14700.00,6.34
33,ショートを決済,PChLE,2016-01-28,2460,100,-15200.00,-6.56,-66700.00,-0.52,10200.00,4.4,14700.00,6.34
34,ロングエントリー,PChLE,2016-01-28,2460,100,-18000.00,-7.32,-84700.00,-0.61,24450.00,9.94,17500.00,7.11
34,ロングを決済,PChSE,2016-02-24,2290,100,-18000.00,-7.32,-84700.00,-0.61,24450.00,9.94,17500.00,7.11
35,ショートエントリー,PChSE,2016-02-24,2290,100,-22400.00,-9.78,-107100.00,-0.77,2200.00,0.96,21900.00,9.56
35,ショートを決済,PChLE,2016-03-17,2504,100,-22400.00,-9.78,-107100.00,-0.77,2200.00,0.96,21900.00,9.56
36,ロングエントリー,PChLE,2016-03-17,2504,100,-22000.00,-8.79,-129100.00,-0.76,2850.00,1.14,21500.00,8.59
36,ロングを決済,PChSE,2016-04-06,2294,100,-22000.00,-8.79,-129100.00,-0.76,2850.00,1.14,21500.00,8.59
37,ショートエントリー,PChSE,2016-04-06,2294,100,-25000.00,-10.9,-154100.00,-0.87,650.00,0.28,24500.00,10.68
37,ショートを決済,PChLE,2016-05-11,2534,100,-25000.00,-10.9,-154100.00,-0.87,650.00,0.28,24500.00,10.68
38,ロングエントリー,PChLE,2016-05-11,2534,100,-14600.00,-5.76,-168700.00,-0.51,5100.00,2.01,14100.00,5.56
38,ロングを決済,PChSE,2016-05-18,2398,100,-14600.00,-5.76,-168700.00,-0.51,5100.00,2.01,14100.00,5.56
39,ショートエントリー,PChSE,2016-05-18,2398,100,-4100.00,-1.71,-172800.00,-0.14,22800.00,9.51,8850.00,3.69
39,ショートを決済,PChLE,2016-06-29,2429,100,-4100.00,-1.71,-172800.00,-0.14,22800.00,9.51,8850.00,3.69
40,ロングエントリー,PChLE,2016-06-29,2429,100,-3900.00,-1.61,-176700.00,-0.14,12250.00,5.04,4350.00,1.79
40,ロングを決済,PChSE,2016-08-05,2400,100,-3900.00,-1.61,-176700.00,-0.14,12250.00,5.04,4350.00,1.79
41,ショートエントリー,PChSE,2016-08-05,2400,100,600.00,0.25,-176100.00,0.02,14450.00,6.02,5600.00,2.33
41,ショートを決済,PChLE,2016-09-23,2384,100,600.00,0.25,-176100.00,0.02,14450.00,6.02,5600.00,2.33
42,ロングエントリー,PChLE,2016-09-23,2384,100,-11600.00,-4.87,-187700.00,-0.41,1100.00,0.46,11100.00,4.66
42,ロングを決済,PChSE,2016-11-04,2278,100,-11600.00,-4.87,-187700.00,-0.41,1100.00,0.46,11100.00,4.66
43,ショートエントリー,PChSE,2016-11-04,2278,100,-7100.00,-3.12,-194800.00,-0.25,19500.00,8.56,6600.00,2.9
