,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,14500.00,0.48,84500.00,2.82,-70000.00,-2.33
総利益,164600.00,5.49,98400.00,3.28,66200.00,2.21
総損失,150100.00,5,13900.00,0.46,136200.00,4.54
最大ドローダウン,99300.00,3.31,,,,
バイ・アンド・ホールドでのリターン,9713334.00,323.78,,,,
シャープレシオ,-0.386,,,,,
ソルティノレシオ,-0.37,,,,,
プロフィットファクター,1.097,,7.079,,0.486,
最大保有数,100,,100,,100,
未決済の損益,-137600.00,-4.56,,,,
支払い済み手数料,16000.00,,8500.00,,7500.00,
終了したトレードの合計,15,,8,,7,
未決済トレードの合計,1,,0,,1,
勝ちトレードの数,10,,6,,4,
負けトレードの数,5,,2,,3,
勝率,66.67,,75,,57.14,
平均トレード,966.67,0.03,10562.50,0.35,-10000.00,-0.33
平均勝ちトレード,16460.00,0.55,16400.00,0.55,16550.00,0.55
平均負けトレード,30020.00,1,6950.00,0.23,45400.00,1.51
ペイオフレシオ（平均勝ち / 平均負けの比率）,0.548,,2.36,,0.365,
最大勝ちトレード,25400.00,10.23,23500.00,10.23,25400.00,9.45
最大負けトレード,65300.00,70.14,7000.00,2.74,65300.00,70.14
トレードでの平均バー数,141,,105,,182,
勝ちトレードでの平均バー数,76,,95,,48,
負けトレードでの平均バー数,271,,135,,361,
マージンコール,0,,0,,0,
