トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,RsiLE,2012-04-16,905,100,1100.00,1.22,1100.00,0.04,4000.00,4.42,9750.00,10.77
1,ロングを決済,RsiSE,2012-07-11,931,100,1100.00,1.22,1100.00,0.04,4000.00,4.42,9750.00,10.77
2,ショートエントリー,RsiSE,2012-07-11,931,100,-65300.00,-70.14,-64200.00,-2.18,4100.00,4.4,85400.00,91.73
2,ショートを決済,RsiLE,2014-10-10,1574,100,-65300.00,-70.14,-64200.00,-2.18,4100.00,4.4,85400.00,91.73
3,ロングエントリー,RsiLE,2014-10-10,1574,100,16100.00,10.23,-48100.00,0.55,20100.00,12.77,7825.00,4.97
3,ロングを決済,RsiSE,2015-02-03,1745,100,16100.00,10.23,-48100.00,0.55,20100.00,12.77,7825.00,4.97
4,ショートエントリー,RsiSE,2015-02-03,1745,100,-45600.00,-26.13,-93700.00,-1.54,2500.00,1.43,96950.00,55.56
4,ショートを決済,RsiLE,2016-06-21,2191,100,-45600.00,-26.13,-93700.00,-1.54,2500.00,1.43,96950.00,55.56
5,ロングエントリー,RsiLE,2016-06-21,2191,100,20800.00,9.49,-72900.00,0.72,36050.00,16.45,11800.00,5.39
5,ロングを決済,RsiSE,2016-12-19,2409,100,20800.00,9.49,-72900.00,0.72,36050.00,16.45,11800.00,5.39
6,ショートエントリー,RsiSE,2016-12-19,2409,100,-24800.00,-10.29,-97700.00,-0.85,6800.00,2.82,34600.00,14.36
6,ショートを決済,RsiLE,2017-09-26,2647,100,-24800.00,-10.29,-97700.00,-0.85,6800.00,2.82,34600.00,14.36
7,ロングエントリー,RsiLE,2017-09-26,2647,100,18500.00,6.99,-79200.00,0.64,29300.00,11.07,10600.00,4
7,ロングを決済,RsiSE,2017-11-16,2842,100,18500.00,6.99,-79200.00,0.64,29300.00,11.07,10600.00,4
8,ショートエントリー,RsiSE,2017-11-16,2842,100,11100.00,3.91,-68100.00,0.38,20850.00,7.34,11550.00,4.06
8,ショートを決済,RsiLE,2017-12-19,2721,100,11100.00,3.91,-68100.00,0.38,20850.00,7.34,11550.00,4.06
9,ロングエントリー,RsiLE,2017-12-19,2721,100,-7000.00,-2.57,-75100.00,-0.24,0,0,45350.00,16.67
9,ロングを決済,RsiSE,2018-05-17,2661,100,-7000.00,-2.57,-75100.00,-0.24,0,0,45350.00,16.67
10,ショートエントリー,RsiSE,2018-05-17,2661,100,15600.00,5.86,-59500.00,0.53,21700.00,8.15,3150.00,1.18
10,ショートを決済,RsiLE,2018-07-04,2495,100,15600.00,5.86,-59500.00,0.53,21700.00,8.15,3150.00,1.18
11,ロングエントリー,RsiLE,2018-07-04,2495,100,18400.00,7.37,-41100.00,0.63,22350.00,8.96,1750.00,0.7
11,ロングを決済,RsiSE,2018-08-10,2689,100,18400.00,7.37,-41100.00,0.63,22350.00,8.96,1750.00,0.7
12,ショートエントリー,RsiSE,2018-08-10,2689,100,25400.00,9.45,-15700.00,0.86,33950.00,12.63,950.00,0.35
12,ショートを決済,RsiLE,2018-09-11,2425,100,25400.00,9.45,-15700.00,0.86,33950.00,12.63,950.00,0.35
13,ロングエントリー,RsiLE,2018-09-11,2425,100,23500.00,9.69,7800.00,0.79,25100.00,10.35,40500.00,16.7
13,ロングを決済,RsiSE,2019-09-19,2670,100,23500.00,9.69,7800.00,0.79,25100.00,10.35,40500.00,16.7
14,ショートエントリー,RsiSE,2019-09-19,2670,100,14100.00,5.28,21900.00,0.47,23800.00,8.91,24300.00,9.1
14,ショートを決済,RsiLE,2020-03-06,2519,100,14100.00,5.28,21900.00,0.47,23800.00,8.91,24300.00,9.1
15,ロングエントリー,RsiLE,2020-03-06,2519,100,-6900.00,-2.74,15000.00,-0.23,20750.00,8.24,39700.00,15.76
15,ロングを決済,RsiSE,2020-11-16,2460,100,-6900.00,-2.74,15000.00,-0.23,20750.00,8.24,39700.00,15.76
16,ショートエントリー,RsiSE,2020-11-16,2460,,,,,,,,,
16,ショートを決済,始値,,,,,,,,,,,
