,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-168300.00,-5.61,-25400.00,-0.85,-142900.00,-4.76
総利益,202800.00,6.76,150300.00,5.01,52500.00,1.75
総損失,371100.00,12.37,175700.00,5.86,195400.00,6.51
最大ドローダウン,189300.00,6.3,,,,
バイ・アンド・ホールドでのリターン,9506160.00,316.87,,,,
シャープレシオ,-0.673,,,,,
ソルティノレシオ,-0.598,,,,,
プロフィットファクター,0.546,,0.855,,0.269,
最大保有数,100,,100,,100,
未決済の損益,0,0,,,,
支払い済み手数料,100000.00,,54000.00,,46000.00,
終了したトレードの合計,50,,27,,23,
未決済トレードの合計,0,,0,,0,
勝ちトレードの数,16,,11,,5,
負けトレードの数,34,,16,,18,
勝率,32,,40.74,,21.74,
平均トレード,-3366.00,-0.11,-940.74,-0.03,-6213.04,-0.21
平均勝ちトレード,12675.00,0.42,13663.64,0.46,10500.00,0.35
平均負けトレード,10914.71,0.36,10981.25,0.37,10855.56,0.36
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.161,,1.244,,0.967,
最大勝ちトレード,24100.00,10.05,24100.00,10.05,14400.00,6.05
最大負けトレード,23000.00,9.87,19900.00,7.8,23000.00,9.87
トレードでの平均バー数,20,,22,,18,
勝ちトレードでの平均バー数,34,,38,,26,
負けトレードでの平均バー数,14,,11,,16,
マージンコール,0,,0,,0,
