トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,open_short,2012-04-05,920,100,4300.00,4.67,4300.00,0.14,5300.00,5.76,1750.00,1.9
1,ショートを決済,close_short,2012-05-22,857,100,4300.00,4.67,4300.00,0.14,5300.00,5.76,1750.00,1.9
2,ショートエントリー,open_short,2012-10-30,911,100,-5200.00,-5.71,-900.00,-0.17,1100.00,1.21,4200.00,4.61
2,ショートを決済,close_short,2012-11-28,943,100,-5200.00,-5.71,-900.00,-0.17,1100.00,1.21,4200.00,4.61
3,ロングエントリー,open_long,2012-11-29,939,100,-4500.00,-4.79,-5400.00,-0.15,0,0,3500.00,3.73
3,ロングを決済,close_long,2012-12-03,914,100,-4500.00,-4.79,-5400.00,-0.15,0,0,3500.00,3.73
4,ショートエントリー,open_short,2012-12-18,903,100,-5000.00,-5.54,-10400.00,-0.17,0,0,4000.00,4.43
4,ショートを決済,close_short,2013-01-07,933,100,-5000.00,-5.54,-10400.00,-0.17,0,0,4000.00,4.43
5,ロングエントリー,open_long,2013-01-08,926,100,900.00,0.97,-9500.00,0.03,1900.00,2.05,1725.00,1.86
5,ロングを決済,close_long,2013-01-31,955,100,900.00,0.97,-9500.00,0.03,1900.00,2.05,1725.00,1.86
6,ロングエントリー,open_long,2013-07-08,1328,100,-8200.00,-6.17,-17700.00,-0.27,0,0,7200.00,5.42
6,ロングを決済,close_long,2013-07-17,1266,100,-8200.00,-6.17,-17700.00,-0.27,0,0,7200.00,5.42
7,ショートエントリー,open_short,2013-07-30,1246,100,-6900.00,-5.54,-24600.00,-0.23,600.00,0.48,5900.00,4.74
7,ショートを決済,close_short,2013-08-02,1295,100,-6900.00,-5.54,-24600.00,-0.23,600.00,0.48,5900.00,4.74
8,ロングエントリー,open_long,2013-09-10,1328,100,-6300.00,-4.74,-30900.00,-0.21,1950.00,1.47,5300.00,3.99
8,ロングを決済,close_long,2013-09-17,1285,100,-6300.00,-4.74,-30900.00,-0.21,1950.00,1.47,5300.00,3.99
9,ショートエントリー,open_short,2013-10-04,1255,100,-6700.00,-5.34,-37600.00,-0.23,125.00,0.1,5700.00,4.54
9,ショートを決済,close_short,2013-10-10,1302,100,-6700.00,-5.34,-37600.00,-0.23,125.00,0.1,5700.00,4.54
10,ロングエントリー,open_long,2013-12-13,1360,100,4800.00,3.53,-32800.00,0.16,5800.00,4.26,4000.00,2.94
10,ロングを決済,close_long,2014-01-06,1428,100,4800.00,3.53,-32800.00,0.16,5800.00,4.26,4000.00,2.94
11,ロングエントリー,open_long,2014-03-07,1478,100,-11000.00,-7.44,-43800.00,-0.37,1425.00,0.96,10000.00,6.77
11,ロングを決済,close_long,2014-03-24,1388,100,-11000.00,-7.44,-43800.00,-0.37,1425.00,0.96,10000.00,6.77
12,ショートエントリー,open_short,2014-03-26,1375,100,-8400.00,-6.11,-52200.00,-0.28,10225.00,7.44,7400.00,5.38
12,ショートを決済,close_short,2014-05-01,1439,100,-8400.00,-6.11,-52200.00,-0.28,10225.00,7.44,7400.00,5.38
13,ロングエントリー,open_long,2014-05-02,1437,100,13900.00,9.67,-38300.00,0.47,14900.00,10.37,4700.00,3.27
13,ロングを決済,close_long,2014-06-19,1596,100,13900.00,9.67,-38300.00,0.47,14900.00,10.37,4700.00,3.27
14,ショートエントリー,open_short,2014-10-03,1625,100,9000.00,5.54,-29300.00,0.3,10000.00,6.15,4425.00,2.72
