,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,46000.00,1.53,136300.00,4.54,-90300.00,-3.01
総利益,360600.00,12.02,212200.00,7.07,148400.00,4.95
総損失,314600.00,10.49,75900.00,2.53,238700.00,7.96
最大ドローダウン,92600.00,3.04,,,,
バイ・アンド・ホールドでのリターン,9644096.00,321.47,,,,
シャープレシオ,-0.428,,,,,
ソルティノレシオ,-0.427,,,,,
プロフィットファクター,1.146,,2.796,,0.622,
最大保有数,100,,100,,100,
未決済の損益,-65000.00,-2.13,,,,
支払い済み手数料,66000.00,,33500.00,,32500.00,
終了したトレードの合計,65,,33,,32,
未決済トレードの合計,1,,0,,1,
勝ちトレードの数,43,,26,,17,
負けトレードの数,22,,7,,15,
勝率,66.15,,78.79,,53.13,
平均トレード,707.69,0.02,4130.30,0.14,-2821.87,-0.09
平均勝ちトレード,8386.05,0.28,8161.54,0.27,8729.41,0.29
平均負けトレード,14300.00,0.48,10842.86,0.36,15913.33,0.53
ペイオフレシオ（平均勝ち / 平均負けの比率）,0.586,,0.753,,0.549,
最大勝ちトレード,38200.00,13.47,38200.00,13.47,22800.00,9.81
最大負けトレード,64500.00,39.45,26000.00,9.29,64500.00,39.45
トレードでの平均バー数,37,,30,,45,
勝ちトレードでの平均バー数,28,,26,,30,
負けトレードでの平均バー数,56,,44,,62,
マージンコール,0,,0,,0,
