トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,StochLE,2012-04-09,910,100,-4900.00,-5.38,-4900.00,-0.16,750.00,0.82,10250.00,11.26
1,ロングを決済,StochSE,2012-06-26,876,100,-4900.00,-5.38,-4900.00,-0.16,750.00,0.82,10250.00,11.26
2,ショートエントリー,StochSE,2012-06-26,876,100,-3000.00,-3.42,-7900.00,-0.1,0,0,8400.00,9.59
2,ショートを決済,StochLE,2012-07-27,896,100,-3000.00,-3.42,-7900.00,-0.1,0,0,8400.00,9.59
3,ロングエントリー,StochLE,2012-07-27,896,100,4300.00,4.8,-3600.00,0.14,6150.00,6.86,1225.00,1.37
3,ロングを決済,StochSE,2012-08-20,949,100,4300.00,4.8,-3600.00,0.14,6150.00,6.86,1225.00,1.37
4,ショートエントリー,StochSE,2012-08-20,949,100,4000.00,4.21,400.00,0.13,5525.00,5.82,975.00,1.03
4,ショートを決済,StochLE,2012-09-10,899,100,4000.00,4.21,400.00,0.13,5525.00,5.82,975.00,1.03
5,ロングエントリー,StochLE,2012-09-10,899,100,4700.00,5.23,5100.00,0.16,7100.00,7.9,1900.00,2.11
5,ロングを決済,StochSE,2012-10-10,956,100,4700.00,5.23,5100.00,0.16,7100.00,7.9,1900.00,2.11
6,ショートエントリー,StochSE,2012-10-10,956,100,4100.00,4.29,9200.00,0.14,6100.00,6.38,3150.00,3.29
6,ショートを決済,StochLE,2012-11-01,905,100,4100.00,4.29,9200.00,0.14,6100.00,6.38,3150.00,3.29
7,ロングエントリー,StochLE,2012-11-01,905,100,3600.00,3.98,12800.00,0.12,4125.00,4.56,1875.00,2.07
7,ロングを決済,StochSE,2013-01-18,951,100,3600.00,3.98,12800.00,0.12,4125.00,4.56,1875.00,2.07
8,ショートエントリー,StochSE,2013-01-18,951,100,-12200.00,-12.83,600.00,-0.4,1975.00,2.08,16150.00,16.98
8,ショートを決済,StochLE,2013-03-22,1063,100,-12200.00,-12.83,600.00,-0.4,1975.00,2.08,16150.00,16.98
9,ロングエントリー,StochLE,2013-03-22,1063,100,11500.00,10.82,12100.00,0.38,12000.00,11.29,8675.00,8.16
9,ロングを決済,StochSE,2013-04-15,1188,100,11500.00,10.82,12100.00,0.38,12000.00,11.29,8675.00,8.16
