,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-460200.00,-15.34,-110000.00,-3.67,-350200.00,-11.67
総利益,205600.00,6.85,182800.00,6.09,22800.00,0.76
総損失,665800.00,22.19,292800.00,9.76,373000.00,12.43
最大ドローダウン,459900.00,15.33,,,,
バイ・アンド・ホールドでのリターン,10031341.00,334.38,,,,
シャープレシオ,-0.612,,,,,
ソルティノレシオ,-0.585,,,,,
プロフィットファクター,0.309,,0.624,,0.061,
最大保有数,100,,100,,100,
未決済の損益,54100.00,2.13,,,,
支払い済み手数料,77000.00,,39000.00,,38000.00,
終了したトレードの合計,76,,38,,38,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,17,,13,,4,
負けトレードの数,59,,25,,34,
勝率,22.37,,34.21,,10.53,
平均トレード,-6055.26,-0.2,-2894.74,-0.1,-9215.79,-0.31
平均勝ちトレード,12094.12,0.4,14061.54,0.47,5700.00,0.19
平均負けトレード,11284.75,0.38,11712.00,0.39,10970.59,0.37
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.072,,1.201,,0.52,
最大勝ちトレード,50900.00,31.23,50900.00,31.23,9800.00,3.75
最大負けトレード,36400.00,16.19,23200.00,9.69,36400.00,16.19
トレードでの平均バー数,32,,39,,24,
勝ちトレードでの平均バー数,56,,65,,29,
負けトレードでの平均バー数,25,,26,,24,
マージンコール,0,,0,,0,
