トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ロングエントリー,My Long Entry Id,2012-06-21,883,100,-300.00,-0.34,-300.00,-0.01,6200.00,7.02,1800.00,2.04
1,ロングを決済,My Short Entry Id,2012-07-26,895,100,-300.00,-0.34,-300.00,-0.01,6200.00,7.02,1800.00,2.04
2,ショートエントリー,My Short Entry Id,2012-07-26,895,100,-4900.00,-5.47,-5200.00,-0.16,125.00,0.14,5125.00,5.73
2,ショートを決済,My Long Entry Id,2012-08-08,934,100,-4900.00,-5.47,-5200.00,-0.16,125.00,0.14,5125.00,5.73
3,ロングエントリー,My Long Entry Id,2012-08-08,934,100,-3400.00,-3.64,-8600.00,-0.11,2350.00,2.52,2900.00,3.1
3,ロングを決済,My Short Entry Id,2012-08-31,910,100,-3400.00,-3.64,-8600.00,-0.11,2350.00,2.52,2900.00,3.1
4,ショートエントリー,My Short Entry Id,2012-08-31,910,100,-6100.00,-6.7,-14700.00,-0.2,2000.00,2.2,6750.00,7.42
4,ショートを決済,My Long Entry Id,2012-09-21,961,100,-6100.00,-6.7,-14700.00,-0.2,2000.00,2.2,6750.00,7.42
5,ロングエントリー,My Long Entry Id,2012-09-21,961,100,-6000.00,-6.24,-20700.00,-0.2,1650.00,1.72,6475.00,6.74
5,ロングを決済,My Short Entry Id,2012-10-30,911,100,-6000.00,-6.24,-20700.00,-0.2,1650.00,1.72,6475.00,6.74
6,ショートエントリー,My Short Entry Id,2012-10-30,911,100,-4800.00,-5.27,-25500.00,-0.16,1600.00,1.76,4525.00,4.97
6,ショートを決済,My Long Entry Id,2013-01-16,949,100,-4800.00,-5.27,-25500.00,-0.16,1600.00,1.76,4525.00,4.97
7,ロングエントリー,My Long Entry Id,2013-01-16,949,100,3100.00,3.27,-22400.00,0.1,15350.00,16.17,2775.00,2.92
7,ロングを決済,My Short Entry Id,2013-04-02,990,100,3100.00,3.27,-22400.00,0.1,15350.00,16.17,2775.00,2.92
8,ショートエントリー,My Short Entry Id,2013-04-02,990,100,-11800.00,-11.92,-34200.00,-0.4,375.00,0.38,11300.00,11.41
8,ショートを決済,My Long Entry Id,2013-04-09,1098,100,-11800.00,-11.92,-34200.00,-0.4,375.00,0.38,11300.00,11.41
9,ロングエントリー,My Long Entry Id,2013-04-09,1098,100,14500.00,13.21,-19700.00,0.49,30950.00,28.19,2300.00,2.09
9,ロングを決済,My Short Entry Id,2013-06-10,1253,100,14500.00,13.21,-19700.00,0.49,30950.00,28.19,2300.00,2.09
10,ショートエントリー,My Short Entry Id,2013-06-10,1253,100,-10200.00,-8.14,-29900.00,-0.34,6550.00,5.23,9700.00,7.74
10,ショートを決済,My Long Entry Id,2013-09-11,1345,100,-10200.00,-8.14,-29900.00,-0.34,6550.00,5.23,9700.00,7.74
11,ロングエントリー,My Long Entry Id,2013-09-11,1345,100,-10000.00,-7.43,-39900.00,-0.34,750.00,0.56,9500.00,7.06
11,ロングを決済,My Short Entry Id,2013-10-04,1255,100,-10000.00,-7.43,-39900.00,-0.34,750.00,0.56,9500.00,7.06
12,ショートエントリー,My Short Entry Id,2013-10-04,1255,100,-11500.00,-9.16,-51400.00,-0.39,625.00,0.5,11250.00,8.96
12,ショートを決済,My Long Entry Id,2013-12-13,1360,100,-11500.00,-9.16,-51400.00,-0.39,625.00,0.5,11250.00,8.96
13,ロングエントリー,My Long Entry Id,2013-12-13,1360,100,1500.00,1.1,-49900.00,0.05,11200.00,8.24,3500.00,2.57
13,ロングを決済,My Short Entry Id,2014-01-28,1385,100,1500.00,1.1,-49900.00,0.05,11200.00,8.24,3500.00,2.57
14,ショートエントリー,My Short Entry Id,2014-01-28,1385,100,-6800.00,-4.91,-56700.00,-0.23,9800.00,7.08,6300.00,4.55
14,ショートを決済,My Long Entry Id,2014-02-13,1443,100,-6800.00,-4.91,-56700.00,-0.23,9800.00,7.08,6300.00,4.55
15,ロングエントリー,My Long Entry Id,2014-02-13,1443,100,-10400.00,-7.21,-67100.00,-0.35,5425.00,3.76,9900.00,6.86
15,ロングを決済,My Short Entry Id,2014-03-25,1349,100,-10400.00,-7.21,-67100.00,-0.35,5425.00,3.76,9900.00,6.86
16,ショートエントリー,My Short Entry Id,2014-03-25,1349,100,-6900.00,-5.11,-74000.00,-0.24,8125.00,6.02,8325.00,6.17
16,ショートを決済,My Long Entry Id,2014-04-30,1408,100,-6900.00,-5.11,-74000.00,-0.24,8125.00,6.02,8325.00,6.17
17,ロングエントリー,My Long Entry Id,2014-04-30,1408,100,28900.00,20.53,-45100.00,0.99,36700.00,26.07,1300.00,0.92
17,ロングを決済,My Short Entry Id,2014-09-25,1707,100,28900.00,20.53,-45100.00,0.99,36700.00,26.07,1300.00,0.92
18,ショートエントリー,My Short Entry Id,2014-09-25,1707,100,-7800.00,-4.57,-52900.00,-0.26,20125.00,11.79,7300.00,4.28
18,ショートを決済,My Long Entry Id,2014-11-04,1775,100,-7800.00,-4.57,-52900.00,-0.26,20125.00,11.79,7300.00,4.28
19,ロングエントリー,My Long Entry Id,2014-11-04,1775,100,-17200.00,-9.69,-70100.00,-0.58,0,0,19000.00,10.7
19,ロングを決済,My Short Entry Id,2014-11-25,1613,100,-17200.00,-9.69,-70100.00,-0.58,0,0,19000.00,10.7
20,ショートエントリー,My Short Entry Id,2014-11-25,1613,100,-2700.00,-1.67,-72800.00,-0.09,10250.00,6.35,2200.00,1.36
20,ショートを決済,My Long Entry Id,2015-01-15,1630,100,-2700.00,-1.67,-72800.00,-0.09,10250.00,6.35,2200.00,1.36
21,ロングエントリー,My Long Entry Id,2015-01-15,1630,100,50900.00,31.23,-21900.00,1.74,89800.00,55.09,4550.00,2.79
21,ロングを決済,My Short Entry Id,2015-08-25,2149,100,50900.00,31.23,-21900.00,1.74,89800.00,55.09,4550.00,2.79
22,ショートエントリー,My Short Entry Id,2015-08-25,2149,100,-24500.00,-11.4,-46400.00,-0.82,14150.00,6.58,29600.00,13.77
22,ショートを決済,My Long Entry Id,2015-11-10,2384,100,-24500.00,-11.4,-46400.00,-0.82,14150.00,6.58,29600.00,13.77
23,ロングエントリー,My Long Entry Id,2015-11-10,2384,100,-14600.00,-6.12,-61000.00,-0.49,10250.00,4.3,17550.00,7.36
23,ロングを決済,My Short Entry Id,2016-01-22,2248,100,-14600.00,-6.12,-61000.00,-0.49,10250.00,4.3,17550.00,7.36
24,ショートエントリー,My Short Entry Id,2016-01-22,2248,100,-36400.00,-16.19,-97400.00,-1.24,3200.00,1.42,35900.00,15.97
24,ショートを決済,My Long Entry Id,2016-02-01,2602,100,-36400.00,-16.19,-97400.00,-1.24,3200.00,1.42,35900.00,15.97
25,ロングエントリー,My Long Entry Id,2016-02-01,2602,100,-19700.00,-7.57,-117100.00,-0.68,10250.00,3.94,31700.00,12.18
25,ロングを決済,My Short Entry Id,2016-02-15,2415,100,-19700.00,-7.57,-117100.00,-0.68,10250.00,3.94,31700.00,12.18
26,ショートエントリー,My Short Entry Id,2016-02-15,2415,100,-3500.00,-1.45,-120600.00,-0.12,14700.00,6.09,12750.00,5.28
