,すべて ¥,すべて %,ロング ¥,ロング %,ショート ¥,ショート %
純利益,-849000.00,-28.3,-289200.00,-9.64,-559800.00,-18.66
総利益,941300.00,31.38,539800.00,17.99,401500.00,13.38
総損失,1790300.00,59.68,829000.00,27.63,961300.00,32.04
最大ドローダウン,848000.00,28.28,,,,
バイ・アンド・ホールドでのリターン,9659100.00,321.97,,,,
シャープレシオ,-0.711,,,,,
ソルティノレシオ,-0.634,,,,,
プロフィットファクター,0.526,,0.651,,0.418,
最大保有数,100,,100,,100,
未決済の損益,23100.00,1.07,,,,
支払い済み手数料,662000.00,,330500.00,,331500.00,
終了したトレードの合計,661,,330,,331,
未決済トレードの合計,1,,1,,0,
勝ちトレードの数,189,,101,,88,
負けトレードの数,467,,225,,242,
勝率,28.59,,30.61,,26.59,
平均トレード,-1284.42,-0.04,-876.36,-0.03,-1691.24,-0.06
平均勝ちトレード,4980.42,0.17,5344.55,0.18,4562.50,0.15
平均負けトレード,3833.62,0.13,3684.44,0.12,3972.31,0.13
ペイオフレシオ（平均勝ち / 平均負けの比率）,1.299,,1.451,,1.149,
最大勝ちトレード,36900.00,13.46,25200.00,12.72,36900.00,13.46
最大負けトレード,19500.00,8.69,13200.00,6.95,19500.00,8.69
トレードでの平均バー数,5,,5,,4,
勝ちトレードでの平均バー数,7,,8,,7,
負けトレードでの平均バー数,4,,4,,3,
マージンコール,0,,0,,0,
