トレード #,タイプ,シグナル,日時,価格,取引,利益 ¥,利益 %,累積利益 ¥,累積利益 %,最大可能利益 ¥,最大可能利益 %,ドローダウン ¥,ドローダウン %
1,ショートエントリー,VltClsSE,2012-04-06,909,100,-1400.00,-1.54,-1400.00,-0.05,0,0,1975.00,2.17
1,ショートを決済,VltClsLE,2012-04-13,908,100,-1400.00,-1.54,-1400.00,-0.05,0,0,1975.00,2.17
2,ロングエントリー,VltClsLE,2012-04-13,908,100,-1300.00,-1.43,-2700.00,-0.04,450.00,0.5,800.00,0.88
2,ロングを決済,VltClsSE,2012-04-16,905,100,-1300.00,-1.43,-2700.00,-0.04,450.00,0.5,800.00,0.88
3,ショートエントリー,VltClsSE,2012-04-16,905,100,-2500.00,-2.76,-5200.00,-0.08,0,0,2000.00,2.21
3,ショートを決済,VltClsLE,2012-04-18,920,100,-2500.00,-2.76,-5200.00,-0.08,0,0,2000.00,2.21
4,ロングエントリー,VltClsLE,2012-04-18,920,100,-1900.00,-2.07,-7100.00,-0.06,250.00,0.27,1400.00,1.52
4,ロングを決済,VltClsSE,2012-04-19,911,100,-1900.00,-2.07,-7100.00,-0.06,250.00,0.27,1400.00,1.52
5,ショートエントリー,VltClsSE,2012-04-19,911,100,300.00,0.33,-6800.00,0.01,2475.00,2.72,1775.00,1.95
5,ショートを決済,VltClsLE,2012-05-09,898,100,300.00,0.33,-6800.00,0.01,2475.00,2.72,1775.00,1.95
6,ロングエントリー,VltClsLE,2012-05-09,898,100,-1800.00,-2,-8600.00,-0.06,0,0,1300.00,1.45
6,ロングを決済,VltClsSE,2012-05-10,890,100,-1800.00,-2,-8600.00,-0.06,0,0,1300.00,1.45
7,ショートエントリー,VltClsSE,2012-05-10,890,100,-500.00,-0.56,-9100.00,-0.02,1000.00,1.12,875.00,0.98
7,ショートを決済,VltClsLE,2012-05-14,885,100,-500.00,-0.56,-9100.00,-0.02,1000.00,1.12,875.00,0.98
8,ロングエントリー,VltClsLE,2012-05-14,885,100,-300.00,-0.34,-9400.00,-0.01,1625.00,1.84,1000.00,1.13
8,ロングを決済,VltClsSE,2012-05-16,892,100,-300.00,-0.34,-9400.00,-0.01,1625.00,1.84,1000.00,1.13
9,ショートエントリー,VltClsSE,2012-05-16,892,100,2400.00,2.69,-7000.00,0.08,4700.00,5.27,0,0
9,ショートを決済,VltClsLE,2012-05-28,858,100,2400.00,2.69,-7000.00,0.08,4700.00,5.27,0,0
10,ロングエントリー,VltClsLE,2012-05-28,858,100,-2300.00,-2.68,-9300.00,-0.08,75.00,0.09,1800.00,2.1
10,ロングを決済,VltClsSE,2012-05-30,845,100,-2300.00,-2.68,-9300.00,-0.08,75.00,0.09,1800.00,2.1
11,ショートエントリー,VltClsSE,2012-05-30,845,100,-1900.00,-2.25,-11200.00,-0.06,0,0,1400.00,1.66
11,ショートを決済,VltClsLE,2012-06-01,854,100,-1900.00,-2.25,-11200.00,-0.06,0,0,1400.00,1.66
12,ロングエントリー,VltClsLE,2012-06-01,854,100,-3500.00,-4.1,-14700.00,-0.12,0,0,3000.00,3.51
12,ロングを決済,VltClsSE,2012-06-04,829,100,-3500.00,-4.1,-14700.00,-0.12,0,0,3000.00,3.51
13,ショートエントリー,VltClsSE,2012-06-04,829,100,-1800.00,-2.17,-16500.00,-0.06,650.00,0.78,1300.00,1.57
13,ショートを決済,VltClsLE,2012-06-11,837,100,-1800.00,-2.17,-16500.00,-0.06,650.00,0.78,1300.00,1.57
14,ロングエントリー,VltClsLE,2012-06-11,837,100,-1900.00,-2.27,-18400.00,-0.06,0,0,1400.00,1.67
14,ロングを決済,VltClsSE,2012-06-12,828,100,-1900.00,-2.27,-18400.00,-0.06,0,0,1400.00,1.67
15,ショートエントリー,VltClsSE,2012-06-12,828,100,-1700.00,-2.05,-20100.00,-0.06,175.00,0.21,1200.00,1.45
15,ショートを決済,VltClsLE,2012-06-13,835,100,-1700.00,-2.05,-20100.00,-0.06,175.00,0.21,1200.00,1.45
16,ロングエントリー,VltClsLE,2012-06-13,835,100,7400.00,8.86,-12700.00,0.25,11500.00,13.77,750.00,0.9
16,ロングを決済,VltClsSE,2012-07-13,919,100,7400.00,8.86,-12700.00,0.25,11500.00,13.77,750.00,0.9
17,ショートエントリー,VltClsSE,2012-07-13,919,100,-1900.00,-2.07,-14600.00,-0.06,0,0,1400.00,1.52
17,ショートを決済,VltClsLE,2012-07-17,928,100,-1900.00,-2.07,-14600.00,-0.06,0,0,1400.00,1.52
18,ロングエントリー,VltClsLE,2012-07-17,928,100,-2200.00,-2.37,-16800.00,-0.07,450.00,0.48,1700.00,1.83
18,ロングを決済,VltClsSE,2012-07-20,916,100,-2200.00,-2.37,-16800.00,-0.07,450.00,0.48,1700.00,1.83
19,ショートエントリー,VltClsSE,2012-07-20,916,100,-100.00,-0.11,-16900.00,0,2225.00,2.43,1775.00,1.94
19,ショートを決済,VltClsLE,2012-07-30,907,100,-100.00,-0.11,-16900.00,0,2225.00,2.43,1775.00,1.94
20,ロングエントリー,VltClsLE,2012-07-30,907,100,-1100.00,-1.21,-18000.00,-0.04,925.00,1.02,700.00,0.77
